@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0015873139,SCOPUS_ID:0015873139,2-s2.0-0015873139,Food habits of some Costa Rican bats.,Howell D.,Revista de biologia tropical,00347744,21,2,281-294,1973-12-01,December 1973,58,4802480,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0015826516,SCOPUS_ID:0015826516,2-s2.0-0015826516,"Some helminth parasites of Nevada bullfrogs, Rana catesbiana Shaw.",Babero B.,Revista de biologia tropical,00347744,21,2,207-220,1973-12-01,December 1973,11,4802588,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0015825592,SCOPUS_ID:0015825592,2-s2.0-0015825592,"Helminth parasites of freshwater fishes. X. On two new trematode parasites of freshwater fishes from Lucknow, India.",Verma S.,Revista de biologia tropical,00347744,21,2,181-186,1973-12-01,December 1973,0,4802494,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0015782515,SCOPUS_ID:0015782515,2-s2.0-0015782515,"Geographical distribution of Viperidae, Elapidae and Hydrophidae in Costa Rica.",Taylor R.,Revista de biologia tropical,00347744,21,2,383-397,1973-12-01,December 1973,14,4802485,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0015782341,SCOPUS_ID:0015782341,2-s2.0-0015782341,The venomous coral snakes (genus Micrurus) of Costa Rica.,Savage J.,Revista de biologia tropical,00347744,21,2,295-249,1973-12-01,December 1973,9,4802640,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0015780370,SCOPUS_ID:0015780370,2-s2.0-0015780370,Effect of anti-amino acids on Trichomonas vaginalis,Christow C.,Revista de biologia tropical,00347744,21,2,87-95,1973-12-01,December 1973,2,4547023,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0015780344,SCOPUS_ID:0015780344,2-s2.0-0015780344,Abnormal hemoglobinopathies in a University student population,Sáenz G.,Revista de biologia tropical,00347744,21,2,417-424,1973-12-01,December 1973,3,4802122,Journal,ar,Article,100,6,6,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0015779702,SCOPUS_ID:0015779702,2-s2.0-0015779702,Keys to Phallales of Costa Rica,Sáenz J.,Revista de biologia tropical,00347744,21,2,425-427,1973-12-01,December 1973,5,4802251,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/19244374966,SCOPUS_ID:19244374966,2-s2.0-19244374966,Konstatin Ivanovich Skrjabin 1878-1972,Caballero y Caballero E.,Revista de biologia tropical,00347744,21,1,3,1973-07-01,July 1973,0,4273651,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/18744428950,SCOPUS_ID:18744428950,2-s2.0-18744428950,Binomy of simulidae (Diptera: Simuliidae) in Costa Rica. IV. Location and description of the collection spots,Vargas M.,Revista de biologia tropical,00347744,21,1,143-175,1973-07-01,July 1973,7,4781535,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,10
true,https://api.elsevier.com/content/abstract/scopus_id/0015647530,SCOPUS_ID:0015647530,2-s2.0-0015647530,"Presence in Costi Rica of Echinococcus oligarthrus Diesing 1863, collected in the small intestine of Felis concolor costaricensis",Brenes Madrigal R.,Revista de biologia tropical,00347744,21,1,139-141,1973-07-01,July 1973,7,4781534,Journal,ar,Article,100,4,4,13567,undefined,0,FALSE,11
