@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/84873952496,SCOPUS_ID:84873952496,2-s2.0-84873952496,What are the biological bases of varied diets?,Westoby M.,American Naturalist,00030147,112,985,627-631,1978-12-01,1978,10.1086/283303,290,Journal,ar,Article,100,1,1,12604,undefined,0,FALSE,1,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/84933998818,SCOPUS_ID:84933998818,2-s2.0-84933998818,Multivariate perspectives on the ecology of plant mineral element composition,Garten C.,American Naturalist,00030147,112,985,533-544,1978-01-01,1978,10.1086/283295,71,Journal,ar,Article,100,1,1,12604,AT(38-l)-708,0,FALSE,2,DOE,U.S. Department of Energy
