@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,citedby-count,pubmed-id,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,entry_number
true,https://api.elsevier.com/content/abstract/scopus_id/0015087155,SCOPUS_ID:0015087155,2-s2.0-0015087155,Immunoelectrophoretic comparison of Trypanosoma vespertilionis and Trypanosoma cruzi.,Bice D.,Revista de biologia tropical,00347744,19,1,149-152,1971-07-01,July 1971,4,5161284,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,1
true,https://api.elsevier.com/content/abstract/scopus_id/0015086557,SCOPUS_ID:0015086557,2-s2.0-0015086557,Abnormal hemoglobins among the Costa Rican negroid population,Sáenz G.,Revista de biologia tropical,00347744,19,1,251-256,1971-07-01,July 1971,6,5161285,Journal,ar,Article,100,7,7,13567,undefined,0,FALSE,2
true,https://api.elsevier.com/content/abstract/scopus_id/0015086556,SCOPUS_ID:0015086556,2-s2.0-0015086556,Cultivation and transformation of hemoflagellates. A review.,Zeledón R.,Revista de biologia tropical,00347744,19,1,197-210,1971-07-01,July 1971,1,4949773,Journal,re,Review,100,1,1,13567,undefined,0,FALSE,3
true,https://api.elsevier.com/content/abstract/scopus_id/0015085086,SCOPUS_ID:0015085086,2-s2.0-0015085086,Methods for embryological studies of triatominae,Carcavallo R.,Revista de biologia tropical,00347744,19,1,195-196,1971-07-01,July 1971,0,4120103,Journal,ar,Article,100,2,2,13567,undefined,0,FALSE,4
true,https://api.elsevier.com/content/abstract/scopus_id/0015085075,SCOPUS_ID:0015085075,2-s2.0-0015085075,"Harold Winfred Manter, 1898-1971",Caballero y Caballero E.,Revista de biologia tropical,00347744,19,1,3-5,1971-07-01,July 1971,0,4949774,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,5
true,https://api.elsevier.com/content/abstract/scopus_id/0015085067,SCOPUS_ID:0015085067,2-s2.0-0015085067,Weight losses and urine osmolarity in the hypophysectomized-adrenalectomized albino rat.,Morales O.,Revista de biologia tropical,00347744,19,1,97-104,1971-07-01,July 1971,0,5161286,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,6
true,https://api.elsevier.com/content/abstract/scopus_id/0015083536,SCOPUS_ID:0015083536,2-s2.0-0015083536,"Population dynamics of Telenomus fariai (Hymenoptera: Scelionidae), a parasite of Chagas' disease vectors. V. Parasite size and vital space.",Rabinovich J.,Revista de biologia tropical,00347744,19,1,109-120,1971-07-01,July 1971,11,5005581,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,7
true,https://api.elsevier.com/content/abstract/scopus_id/0015083516,SCOPUS_ID:0015083516,2-s2.0-0015083516,Studies on the pulmonary surface-active lipoprotein. II. Biophysical characterization of its peptide moiety.,Jiménez J.,Revista de biologia tropical,00347744,19,1,73-95,1971-07-01,July 1971,0,5172794,Journal,ar,Article,100,1,1,13567,undefined,0,FALSE,8
true,https://api.elsevier.com/content/abstract/scopus_id/0015083493,SCOPUS_ID:0015083493,2-s2.0-0015083493,Arachnidism caused by Phoneutria in Costa Rica (Araneae: Ctenidae),Trejos A.,Revista de biologia tropical,00347744,19,1,241-249,1971-07-01,July 1971,4,4143921,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,9
true,https://api.elsevier.com/content/abstract/scopus_id/0015083492,SCOPUS_ID:0015083492,2-s2.0-0015083492,"Effects of glucose, time and temperature on bacterial growth in urine.",De la Cruz E.,Revista de biologia tropical,00347744,19,1,153-158,1971-07-01,July 1971,1,4949772,Journal,ar,Article,100,3,3,13567,undefined,0,FALSE,10
