entry_number,@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country
2,NA,NA,NA,NA,NA,NA
2,true,https://api.elsevier.com/content/affiliation/affiliation_id/60072069,60072069,Universidad Mayor de San Andres Bolivia,La Paz,Bolivia
2,true,https://api.elsevier.com/content/affiliation/affiliation_id/60013791,60013791,University of Hawaiʻi at Mānoa,Honolulu,United States
2,true,https://api.elsevier.com/content/affiliation/affiliation_id/60012708,60012708,Stanford University,Palo Alto,United States
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60257190,60257190,Universidad de la Amazonia,Florencia,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60159442,60159442,Universidad del Pacífico,Buenaventura,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60105707,60105707,"Universidad del Atlántico, Colombia",Atlántico,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60064735,60064735,Universidad del Magdalena,Santa Marta,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60057258,60057258,Universidad Industrial de Santander,Bucaramanga,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60055696,60055696,Universidad Nacional de Colombia,Bogota,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60052106,60052106,"Universidad de Los Andes, Colombia",Bogota,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60052098,60052098,Universidad Nacional de Colombia Medellin,Medellin,Colombia
3,true,https://api.elsevier.com/content/affiliation/affiliation_id/60044573,60044573,Universidad de Pamplona,Pamplona,Colombia
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60208583,60208583,Infectious and Tropical Diseases Research Center,Tabriz,Iran
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60123655,60123655,Toxoplasmosis Research Center MAZUMS,Sari,Iran
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60123645,60123645,Pharmaceutical Sciences Research Center MAZUMS,Sari,Iran
4,true,https://api.elsevier.com/content/affiliation/affiliation_id/60017810,60017810,Mazandaran University of Medical Sciences,Sari,Iran
5,true,https://api.elsevier.com/content/affiliation/affiliation_id/60052098,60052098,Universidad Nacional de Colombia Medellin,Medellin,Colombia
5,true,https://api.elsevier.com/content/affiliation/affiliation_id/101082369,101082369,Instituto de Hidrología,Bogota,Colombia
6,true,https://api.elsevier.com/content/affiliation/affiliation_id/60019176,60019176,Instituto Politécnico Nacional,Mexico City,Mexico
6,true,https://api.elsevier.com/content/affiliation/affiliation_id/124512904,124512904,Laboratorio de Genética,NA,Mexico
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60120795,60120795,Jardin Botanico de Missouri,Oxapampa,Peru
7,true,https://api.elsevier.com/content/affiliation/affiliation_id/60112779,60112779,Universidad Internacional Menéndez Pelayo,Madrid,Spain
