@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country,entry_number
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030112,60030112,National Zoological Park,"Washington, D.C.",United States,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60014439,60014439,"University of California, Davis",Davis,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030522,60030522,Smithsonian Tropical Research Institute,"Washington, D.C.",United States,3
true,https://api.elsevier.com/content/affiliation/affiliation_id/60039702,60039702,"Universidad Central de Venezuela, Facultad de Ciencias",Caracas,Venezuela,4
true,https://api.elsevier.com/content/affiliation/affiliation_id/105951047,105951047,Instituto de Ecologia,Miguel Hidalgo,Mexico,5
true,https://api.elsevier.com/content/affiliation/affiliation_id/60032442,60032442,Universidad Nacional Autónoma de México,Ciudad de México,Mexico,6
true,https://api.elsevier.com/content/affiliation/affiliation_id/60006297,60006297,University of Pennsylvania,Philadelphia,United States,7
true,https://api.elsevier.com/content/affiliation/affiliation_id/60070924,60070924,Institut de Recherche pour le Developpement Cameroon,Yaounde,Cameroon,8
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001439,60001439,Pennsylvania State University,University Park,United States,9
true,https://api.elsevier.com/content/affiliation/affiliation_id/60036835,60036835,LIRD au Brésil,Brasilia,Brazil,10
true,https://api.elsevier.com/content/affiliation/affiliation_id/60029241,60029241,"University of California, Santa Barbara",Santa Barbara,United States,11
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030171,60030171,University of Missouri-St. Louis,St. Louis,United States,12
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007989,60007989,Universiteit Utrecht,Utrecht,Netherlands,13
true,https://api.elsevier.com/content/affiliation/affiliation_id/60119141,60119141,Rutgers University–New Brunswick,New Brunswick,United States,14
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030788,60030788,Hiroshima University,Higashihiroshima,Japan,15
NA,NA,NA,NA,NA,NA,17
true,https://api.elsevier.com/content/affiliation/affiliation_id/60030112,60030112,National Zoological Park,"Washington, D.C.",United States,17
true,https://api.elsevier.com/content/affiliation/affiliation_id/60009697,60009697,University of Manitoba,Winnipeg,Canada,18
NA,NA,NA,NA,NA,NA,20
true,https://api.elsevier.com/content/affiliation/affiliation_id/60003342,60003342,USDA Forest Service,"Washington, D.C.",United States,20
true,https://api.elsevier.com/content/affiliation/affiliation_id/60010621,60010621,USDA ARS Carl Hayden Bee Research Center,Tucson,United States,21
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012403,60012403,Mercer University at Macon,Macon,United States,22
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007740,60007740,"University of South Florida, Tampa",Tampa,United States,23
true,https://api.elsevier.com/content/affiliation/affiliation_id/60018319,60018319,George Mason University,Fairfax,United States,24
true,https://api.elsevier.com/content/affiliation/affiliation_id/60007801,60007801,The University of Texas at El Paso,El Paso,United States,25
true,https://api.elsevier.com/content/affiliation/affiliation_id/60025200,60025200,University of Stirling,Stirling,United Kingdom,26
true,https://api.elsevier.com/content/affiliation/affiliation_id/60012708,60012708,Stanford University,Palo Alto,United States,27
true,https://api.elsevier.com/content/affiliation/affiliation_id/60071533,60071533,Recinto Universitario de Mayagüez,Mayaguez,Puerto Rico,28
true,https://api.elsevier.com/content/affiliation/affiliation_id/60013959,60013959,University of Florida,Gainesville,United States,29
true,https://api.elsevier.com/content/affiliation/affiliation_id/60031514,60031514,Georg-August-Universität Göttingen,Gottingen,Germany,30
true,https://api.elsevier.com/content/affiliation/affiliation_id/60008724,60008724,Duke University,Durham,United States,31
true,https://api.elsevier.com/content/affiliation/affiliation_id/60014439,60014439,"University of California, Davis",Davis,United States,32
true,https://api.elsevier.com/content/affiliation/affiliation_id/60025038,60025038,"University of California, Berkeley",Berkeley,United States,33
true,https://api.elsevier.com/content/affiliation/affiliation_id/60001439,60001439,Pennsylvania State University,University Park,United States,34
true,https://api.elsevier.com/content/affiliation/affiliation_id/60119141,60119141,Rutgers University–New Brunswick,New Brunswick,United States,35
