@_fa,affiliation-url,afid,affilname,affiliation-city,affiliation-country,entry_number
true,https://api.elsevier.com/content/affiliation/affiliation_id/60019544,60019544,Macquarie University,North Ryde,Australia,1
true,https://api.elsevier.com/content/affiliation/affiliation_id/60024266,60024266,Oak Ridge National Laboratory,Oak Ridge,United States,2
true,https://api.elsevier.com/content/affiliation/affiliation_id/60009225,60009225,Savannah River Ecology Laboratory,Aiken,United States,2
