@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/35426313200,35426313200,Moore J.,Moore,John C.,J.C.,true,60016338,1
true,2,https://api.elsevier.com/content/author/author_id/7005189478,7005189478,McCann K.,McCann,Kevin,K.,true,60002494,1
true,3,https://api.elsevier.com/content/author/author_id/7003570248,7003570248,Setälä H.,Setälä,Heikki,H.,true,60002952,1
true,4,https://api.elsevier.com/content/author/author_id/7005979719,7005979719,De Ruiter P.,De Ruiter,Peter C.,P.C.,true,60007989,1
true,1,https://api.elsevier.com/content/author/author_id/7201744683,7201744683,Hirsch A.M.,Hirsch,Ann M.,A.M.,true,60027550,2
true,2,https://api.elsevier.com/content/author/author_id/7201532759,7201532759,Bauer W.D.,Bauer,W. Dietz,W.D.,true,60003500,2
true,3,https://api.elsevier.com/content/author/author_id/16160023000,16160023000,Bird D.M.,Bird,David M.,D.M.,true,60004923,2
true,4,https://api.elsevier.com/content/author/author_id/7003777880,7003777880,Cullimore J.,Cullimore,Julie,J.,true,60001091,2
true,5,https://api.elsevier.com/content/author/author_id/7006546677,7006546677,Tyler B.,Tyler,Brett,B.,true,60005547,2
true,6,https://api.elsevier.com/content/author/author_id/7102730445,7102730445,Yoder J.I.,Yoder,John I.,J.I.,true,60014439,2
true,1,https://api.elsevier.com/content/author/author_id/6507921767,6507921767,Jurena P.,Jurena,P. N.,P.N.,true,60020547,3
true,2,https://api.elsevier.com/content/author/author_id/7202456825,7202456825,Archer S.,Archer,Steve,S.,true,60020547,3
true,1,https://api.elsevier.com/content/author/author_id/6602811854,6602811854,Zartman C.,Zartman,Charles E.,C.E.,true,60008724,4
true,1,https://api.elsevier.com/content/author/author_id/6603729223,6603729223,Anten N.P.R.,Anten,Niels P.R.,N.P.R.,true,60008435,5
true,2,https://api.elsevier.com/content/author/author_id/7402601812,7402601812,Hirose T.,Hirose,Tadaki,T.,true,60008435,5
