entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
32,true,2,https://api.elsevier.com/content/author/author_id/6603219412,6603219412,Penteado-Dias A.,Penteado-Dias,Angélica,A.,true,60013792
33,true,1,https://api.elsevier.com/content/author/author_id/6603163555,6603163555,Maltchik L.,Maltchik,Leonardo,L.,true,60024559
33,true,2,https://api.elsevier.com/content/author/author_id/10238814600,10238814600,Rolon A.,Rolon,Ana Silvia,A.S.,true,60024559
33,true,3,https://api.elsevier.com/content/author/author_id/8395391800,8395391800,Stenert C.,Stenert,Cristina,C.,true,60024559
33,true,4,https://api.elsevier.com/content/author/author_id/35725663200,35725663200,Machado I.,Machado,Iberê Farina,I.F.,true,60024559
33,true,5,https://api.elsevier.com/content/author/author_id/7003937907,7003937907,Rocha O.,Rocha,Odete,O.,true,60013792
34,true,1,https://api.elsevier.com/content/author/author_id/8945201800,8945201800,Guevara M.,Guevara,Miguel,M.,true,60001282
34,true,2,https://api.elsevier.com/content/author/author_id/51664620100,51664620100,Bastardo L.,Bastardo,Leandro,L.,true,60025791
34,true,3,https://api.elsevier.com/content/author/author_id/51664634900,51664634900,Cortez R.,Cortez,Roraysi,R.,true,60025791
34,true,4,https://api.elsevier.com/content/author/author_id/6506507663,6506507663,Arredondo-Vega B.,Arredondo-Vega,Bertha,B.,true,112194065
34,true,5,https://api.elsevier.com/content/author/author_id/15074444500,15074444500,Romero L.,Romero,Lolymar,L.,true,60025791
34,true,6,https://api.elsevier.com/content/author/author_id/57202408667,57202408667,Gómez P.,Gómez,Patricia,P.,true,60001282
35,true,1,https://api.elsevier.com/content/author/author_id/55989695800,55989695800,García C.,García,Cipriano,C.,true,112911914
35,true,2,https://api.elsevier.com/content/author/author_id/56755701700,56755701700,García L.,García,Lourdes,L.,true,112911914
35,true,3,https://api.elsevier.com/content/author/author_id/6507359224,6507359224,Espinosa-Carreón L.,Espinosa-Carreón,Leticia,L.,true,112911914
35,true,4,https://api.elsevier.com/content/author/author_id/51664525800,51664525800,César L.,César,Ley,L.,true,112193881
36,true,1,https://api.elsevier.com/content/author/author_id/48660900600,48660900600,Bardi C.,Bardi,Christian,C.,true,60031769
36,true,2,https://api.elsevier.com/content/author/author_id/26321836400,26321836400,Mariottini Y.,Mariottini,Yanina,Y.,true,60031769
36,true,3,https://api.elsevier.com/content/author/author_id/6508133861,6508133861,de Wysiecki M.,de Wysiecki,Maria L.,M.L.,true,60031769
36,true,4,https://api.elsevier.com/content/author/author_id/7202366667,7202366667,Lange C.,Lange,Carlos E.,C.E.,true,60031769
37,true,1,https://api.elsevier.com/content/author/author_id/35098598000,35098598000,Araújo W.S.,Araújo,Walter S.,W.S.,true,60027136
38,true,1,https://api.elsevier.com/content/author/author_id/56290777600,56290777600,da Silva K.E.,da Silva,Kátia Emidio,K.E.,true,60009625
38,true,2,https://api.elsevier.com/content/author/author_id/35731630200,35731630200,Martins S.V.,Martins,Sebastião Venancio,S.V.,true,60013918
38,true,3,https://api.elsevier.com/content/author/author_id/14324007400,14324007400,Ribeiro C.A.A.S.,Ribeiro,Carlos Antonio Alvares Soares,C.A.A.S.,true,60013918
