@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/14027625300,14027625300,Swallow B.,Swallow,Barn,B.,true,60030318,1
true,1,https://api.elsevier.com/content/author/author_id/7202311648,7202311648,Stevens L.,Stevens,Lori,L.,true,60009500,2
true,2,https://api.elsevier.com/content/author/author_id/7004084297,7004084297,Van G.,Van,Guiyun,G.,true,60032083,2
true,3,https://api.elsevier.com/content/author/author_id/7003458738,7003458738,Pray L.A.,Pray,Leslie A.,L.A.,true,60009500,2
true,1,https://api.elsevier.com/content/author/author_id/6603829910,6603829910,Atlan A.,Atlan,Anne,A.,true,60123796,3
true,2,https://api.elsevier.com/content/author/author_id/6603948093,6603948093,Merçot H.,Merçot,Hervé,H.,true,60123796,3
true,3,https://api.elsevier.com/content/author/author_id/6506635852,6506635852,Landre C.,Landre,Claudie,C.,true,60123796,3
true,4,https://api.elsevier.com/content/author/author_id/6603774817,6603774817,Montchamp-Moreau C.,Montchamp-Moreau,Catherine,C.,true,60123796,3
true,1,https://api.elsevier.com/content/author/author_id/7003607551,7003607551,Epperson B.K.,Epperson,Bryan K.,B.K.,true,60031707,4
true,2,https://api.elsevier.com/content/author/author_id/6504357803,6504357803,Tian-Quan L.I.,Tian-Quan,L. I.,L.I.,true,60031707,4
true,1,https://api.elsevier.com/content/author/author_id/57206356710,57206356710,Colon R.,Colon,Rachel,R.,true,60015481,5
true,1,https://api.elsevier.com/content/author/author_id/7404575449,7404575449,Fernández J.,Fernández,Jesús,J.,true,60027282,6
true,2,https://api.elsevier.com/content/author/author_id/6701610847,6701610847,López-Fanjul C.,López-Fanjul,Carlos,C.,true,60027282,6
true,1,https://api.elsevier.com/content/author/author_id/7004683954,7004683954,Merilä J.,Merilä,Juha,J.,true,60003858,7
true,2,https://api.elsevier.com/content/author/author_id/56264497400,56264497400,Björklund M.,Björklund,Mats,M.,true,60003858,7
true,3,https://api.elsevier.com/content/author/author_id/13404791000,13404791000,Baker A.J.,Baker,Allan J.,A.J.,true,60004044,7
true,1,https://api.elsevier.com/content/author/author_id/6701316422,6701316422,García-Dorado A.,García-Dorado,Aurora,A.,true,60027282,8
true,1,https://api.elsevier.com/content/author/author_id/6603920266,6603920266,Rolán-Alvarez E.,Rolán-Alvarez,Emilio,E.,true,60026134,9
true,2,https://api.elsevier.com/content/author/author_id/55794130600,55794130600,Johannesson K.,Johannesson,Kerstin,K.,true,60026134,9
true,3,https://api.elsevier.com/content/author/author_id/6602860527,6602860527,Erlandsson J.,Erlandsson,Johan,J.,true,60110876,9
true,1,https://api.elsevier.com/content/author/author_id/35580125400,35580125400,Cáceres M.,Cáceres,Mario,M.,true,60023020,10
true,2,https://api.elsevier.com/content/author/author_id/6603628464,6603628464,Barbadilla A.,Barbadilla,Antonio,A.,true,60023020,10
true,3,https://api.elsevier.com/content/author/author_id/7203007547,7203007547,Ruiz A.,Ruiz,Alfredo,A.,true,60023020,10
true,1,https://api.elsevier.com/content/author/author_id/7006045278,7006045278,Van Buskirk J.,Van Buskirk,Josh,J.,true,60025778,11
true,2,https://api.elsevier.com/content/author/author_id/6701840964,6701840964,McCollum S.A.,McCollum,S. Andy,S.A.,true,60025778,11
true,3,https://api.elsevier.com/content/author/author_id/7201367844,7201367844,Werner E.E.,Werner,Earl E.,E.E.,true,60025778,11
true,1,https://api.elsevier.com/content/author/author_id/7006680247,7006680247,Cheverud J.M.,Cheverud,James M.,J.M.,true,60022756,12
true,2,https://api.elsevier.com/content/author/author_id/6701796356,6701796356,Routman E.J.,Routman,Eric J.,E.J.,true,60022756,12
true,3,https://api.elsevier.com/content/author/author_id/57204411442,57204411442,Irschick D.J.,Irschick,Duncan J.,D.J.,true,60010261,12
true,1,https://api.elsevier.com/content/author/author_id/55684330400,55684330400,Hart M.W.,Hart,Michael W.,M.W.,true,60018491,13
true,2,https://api.elsevier.com/content/author/author_id/7202358517,7202358517,Byrne M.,Byrne,Maria,M.,true,60025709,13
true,3,https://api.elsevier.com/content/author/author_id/57203756338,57203756338,Smith M.J.,Smith,Michael J.,M.J.,true,60018491,13
true,1,https://api.elsevier.com/content/author/author_id/7101704900,7101704900,Arendt J.D.,Arendt,Jeffrey D.,J.D.,true,60020273,14
true,2,https://api.elsevier.com/content/author/author_id/7410084871,7410084871,Wilson D.S.,Wilson,David S.,D.S.,true,60020273,14
true,1,https://api.elsevier.com/content/author/author_id/7006077807,7006077807,Doebeli M.,Doebeli,Michael,M.,true,60044069,15
true,2,https://api.elsevier.com/content/author/author_id/7006352204,7006352204,Ruxton G.D.,Ruxton,Graeme D.,G.D.,true,60001490,15
true,1,https://api.elsevier.com/content/author/author_id/6602505048,6602505048,Laukaitis C.M.,Laukaitis,Christina M.,C.M.,true,60020268,16
true,2,https://api.elsevier.com/content/author/author_id/7003429041,7003429041,Critser E.S.,Critser,Elizabeth S.,E.S.,true,60001551,16
true,3,https://api.elsevier.com/content/author/author_id/7003581485,7003581485,Karn R.C.,Karn,Robert C.,R.C.,true,60020268,16
true,1,https://api.elsevier.com/content/author/author_id/6603603317,6603603317,Jockusch E.L.,Jockusch,Elizabeth L.,E.L.,true,60025038,17
true,1,https://api.elsevier.com/content/author/author_id/57203315567,57203315567,Whiteman H.H.,Whiteman,Howard H.,H.H.,true,60028629,18
true,1,https://api.elsevier.com/content/author/author_id/7402763102,7402763102,Moore A.J.,Moore,Allen J.,A.J.,true,60015941,19
true,1,https://api.elsevier.com/content/author/author_id/55665626100,55665626100,Ledig F.T.,Ledig,F. Thomas,F.T.,true,60002418,20
true,2,https://api.elsevier.com/content/author/author_id/6505986810,6505986810,Jacob-Cervantes V.,Jacob-Cervantes,Virginia,V.,true,60010597,20
true,3,https://api.elsevier.com/content/author/author_id/6506924280,6506924280,Hodgskiss P.D.,Hodgskiss,Paul D.,P.D.,true,60002418,20
true,4,https://api.elsevier.com/content/author/author_id/6505780335,6505780335,Eguiluz-Piedra T.,Eguiluz-Piedra,Teobaldo,T.,true,60010597,20
true,1,https://api.elsevier.com/content/author/author_id/7403224867,7403224867,Carr D.E.,Carr,David E.,D.E.,true,60020304,21
true,2,https://api.elsevier.com/content/author/author_id/6701527047,6701527047,Duadash M.R.,Duadash,Michele R.,M.R.,true,60020304,21
true,1,https://api.elsevier.com/content/author/author_id/25521490000,25521490000,Ebert D.,Ebert,Dieter,D.,true,60026851,22
true,2,https://api.elsevier.com/content/author/author_id/6507334483,6507334483,Mangin K.L.,Mangin,Katrina L.,K.L.,true,60026851,22
true,1,https://api.elsevier.com/content/author/author_id/55666312900,55666312900,Orr H.A.,Orr,H. Allen,H.A.,true,60027165,23
