entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,true,1,https://api.elsevier.com/content/author/author_id/7203008269,7203008269,Sherman P.,Sherman,Paul W.,P.W.,true,60007776
2,true,2,https://api.elsevier.com/content/author/author_id/6602842242,6602842242,Zammuto R.,Zammuto,Richard M.,R.M.,true,122264727
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,true,1,https://api.elsevier.com/content/author/author_id/7003918610,7003918610,Cheplick G.P.,Cheplick,G. P.,G.P.,true,60007034
5,true,1,https://api.elsevier.com/content/author/author_id/7006685578,7006685578,Greig N.,Greig,Nancy,N.,true,60013372
6,true,1,https://api.elsevier.com/content/author/author_id/7102941427,7102941427,Legendre P.,Legendre,P.,P.,true,60009507
7,true,1,https://api.elsevier.com/content/author/author_id/7103340764,7103340764,Cronin J.,Cronin,J. T.,J.T.,true,60003342
7,true,2,https://api.elsevier.com/content/author/author_id/7201547672,7201547672,Strong D.,Strong,D. R.,D.R.,true,60003342
8,true,1,https://api.elsevier.com/content/author/author_id/7006045278,7006045278,Van Buskirk J.,Van Buskirk,Josh,J.,true,60008724
9,true,1,https://api.elsevier.com/content/author/author_id/7004116357,7004116357,Kenkel N.,Kenkel,N. C.,N.C.,true,60009697
10,true,1,https://api.elsevier.com/content/author/author_id/6603959714,6603959714,Weissburg M.J.,Weissburg,M. J.,M.J.,true,60027629
10,true,2,https://api.elsevier.com/content/author/author_id/6603937917,6603937917,Zimmer-Faust R.K.,Zimmer-Faust,R. K.,R.K.,true,60027629
11,true,1,https://api.elsevier.com/content/author/author_id/7006706627,7006706627,Ives A.,Ives,Anthony R.,A.R.,true,60032179
11,true,2,https://api.elsevier.com/content/author/author_id/7005653835,7005653835,Kareiva P.,Kareiva,Peter,P.,true,60015481
11,true,3,https://api.elsevier.com/content/author/author_id/57197637912,57197637912,Perry R.,Perry,Renée,R.,true,60007776
12,true,1,https://api.elsevier.com/content/author/author_id/6603907130,6603907130,Emms S.,Emms,S. K.,S.K.,true,60003269
13,true,1,https://api.elsevier.com/content/author/author_id/7403343262,7403343262,Fisher D.,Fisher,D. O.,D.O.,true,60025709
13,true,2,https://api.elsevier.com/content/author/author_id/7102521104,7102521104,Dickman C.,Dickman,C. R.,C.R.,true,60025709
14,true,1,https://api.elsevier.com/content/author/author_id/16940710400,16940710400,Armstrong R.,Armstrong,R. A.,R.A.,true,60003269
15,true,1,https://api.elsevier.com/content/author/author_id/57513527900,57513527900,Manseau M.,Manseau,Micheline,M.,true,60032619
15,true,2,https://api.elsevier.com/content/author/author_id/7102582765,7102582765,Gauthier G.,Gauthier,Gilles,G.,true,60032619
16,true,1,https://api.elsevier.com/content/author/author_id/7004083136,7004083136,Smallwood P.,Smallwood,P. D.,P.D.,true,60010065
17,true,1,https://api.elsevier.com/content/author/author_id/6701335702,6701335702,Kunin W.,Kunin,William E.,W.E.,true,60015481
18,true,1,https://api.elsevier.com/content/author/author_id/56055330800,56055330800,Welham C.,Welham,C. V.J.,C.V.J.,true,60018491
18,true,2,https://api.elsevier.com/content/author/author_id/7003771704,7003771704,Ydenberg R.,Ydenberg,R. C.,R.C.,true,60018491
19,true,1,https://api.elsevier.com/content/author/author_id/7004920781,7004920781,Mauricio R.,Mauricio,Rodney,R.,true,60009982
19,true,2,https://api.elsevier.com/content/author/author_id/7202688293,7202688293,Bowers M.,Bowers,M. Deane,M.D.,true,60006064
19,true,3,https://api.elsevier.com/content/author/author_id/7005453999,7005453999,Bazzaz F.,Bazzaz,F. A.,F.A.,true,60009982
20,true,1,https://api.elsevier.com/content/author/author_id/7103103266,7103103266,Gilliam J.,Gilliam,J. F.,J.F.,true,60004923
20,true,2,https://api.elsevier.com/content/author/author_id/7402646381,7402646381,Fraser D.,Fraser,D. F.,D.F.,true,60004923
20,true,3,https://api.elsevier.com/content/author/author_id/6508260433,6508260433,Alkins-Koo M.,Alkins-Koo,M.,M.,true,60004923
21,true,1,https://api.elsevier.com/content/author/author_id/7202688293,7202688293,Bowers M.,Bowers,M. D.,M.D.,true,60006064
21,true,2,https://api.elsevier.com/content/author/author_id/7006968255,7006968255,Stamp N.,Stamp,N. E.,N.E.,true,60006064
22,true,1,https://api.elsevier.com/content/author/author_id/7003396980,7003396980,Peckarsky B.,Peckarsky,B. L.,B.L.,true,60007776
22,true,2,https://api.elsevier.com/content/author/author_id/7103083279,7103083279,Cowan C.,Cowan,C. A.,C.A.,true,60007776
22,true,3,https://api.elsevier.com/content/author/author_id/6507441386,6507441386,Penton M.,Penton,M. A.,M.A.,true,60007776
22,true,4,https://api.elsevier.com/content/author/author_id/7404306473,7404306473,Anderson C.,Anderson,C.,C.,true,60007776
23,true,1,https://api.elsevier.com/content/author/author_id/7102916139,7102916139,Walters K.,Walters,K.,K.,true,60016744
23,true,2,https://api.elsevier.com/content/author/author_id/7006844368,7006844368,Moriarty D.,Moriarty,D. J.W.,D.J.W.,true,60016744
24,true,1,https://api.elsevier.com/content/author/author_id/6701581354,6701581354,Clinton W.,Clinton,W. L.,W.L.,true,60024941
24,true,2,https://api.elsevier.com/content/author/author_id/57190399551,57190399551,Le Boeuf B.,Le Boeuf,B. J.,B.J.,true,60024941
25,true,1,https://api.elsevier.com/content/author/author_id/7003783129,7003783129,Lubin Y.,Lubin,Yael,Y.,true,60027161
25,true,2,https://api.elsevier.com/content/author/author_id/7005150817,7005150817,Ellner S.,Ellner,Stephen,S.,true,60004923
25,true,3,https://api.elsevier.com/content/author/author_id/6506299711,6506299711,Kotzman M.,Kotzman,Mandy,M.,true,60027161
26,true,1,https://api.elsevier.com/content/author/author_id/6603387299,6603387299,Tremmel D.C.,Tremmel,D. C.,D.C.,true,60009982
26,true,2,https://api.elsevier.com/content/author/author_id/7005453999,7005453999,Bazzaz F.A.,Bazzaz,F. A.,F.A.,true,60009982
27,true,1,https://api.elsevier.com/content/author/author_id/7202827630,7202827630,Moreno E.,Moreno,Eulalia,E.,true,60015098
27,true,2,https://api.elsevier.com/content/author/author_id/7004349656,7004349656,Carrascal L.M.,Carrascal,Luis M.,L.M.,true,60015098
28,true,1,https://api.elsevier.com/content/author/author_id/7102011602,7102011602,Bowman W.,Bowman,William D.,W.D.,true,60000221
28,true,2,https://api.elsevier.com/content/author/author_id/6602827373,6602827373,Theodose T.,Theodose,Theresa A.,T.A.,true,60000221
28,true,3,https://api.elsevier.com/content/author/author_id/6603699115,6603699115,Schardt J.,Schardt,James C.,J.C.,true,60000221
28,true,4,https://api.elsevier.com/content/author/author_id/7005894863,7005894863,Conant R.,Conant,Richard T.,R.T.,true,60000221
