entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,true,1,https://api.elsevier.com/content/author/author_id/7402070151,7402070151,Holt J.,Holt,J. A.,J.A.,true,60029470
3,true,1,https://api.elsevier.com/content/author/author_id/56195279300,56195279300,Borchsenius F.,Borchsenius,Finn,F.,true,60029616
3,true,2,https://api.elsevier.com/content/author/author_id/7202911635,7202911635,Olesen J.,Olesen,Jens Mogens,J.M.,true,60029616
4,true,1,https://api.elsevier.com/content/author/author_id/57212172205,57212172205,O’Donnell S.,O’Donnell,Sean,S.,true,60032179
4,true,2,https://api.elsevier.com/content/author/author_id/7004451533,7004451533,Jeanne R.,Jeanne,Robert L.,R.L.,true,60032179
5,true,1,https://api.elsevier.com/content/author/author_id/7005318271,7005318271,Milton K.,Milton,Katharine,K.,true,60025038
6,true,1,https://api.elsevier.com/content/author/author_id/7006080305,7006080305,Adis J.,Adis,Joachim,J.,true,60000726
7,true,1,https://api.elsevier.com/content/author/author_id/6505897367,6505897367,De Vasconcelos H.,De Vasconcelos,Heraldo Luis,H.L.,true,60029159
8,true,1,https://api.elsevier.com/content/author/author_id/7103343960,7103343960,Howe H.,Howe,Henry F.,H.F.,true,60027561
9,true,1,https://api.elsevier.com/content/author/author_id/7003569020,7003569020,Heaney A.,Heaney,Angela,A.,true,60025200
9,true,2,https://api.elsevier.com/content/author/author_id/7103115989,7103115989,Proctor J.,Proctor,John,J.,true,60025200
10,true,1,https://api.elsevier.com/content/author/author_id/7103229832,7103229832,Forget P.,Forget,Pierre Michel,P.M.,true,60001422
11,true,1,https://api.elsevier.com/content/author/author_id/7003901064,7003901064,Levey D.J.,Levey,Douglas J.,D.J.,true,60013959
12,true,1,https://api.elsevier.com/content/author/author_id/6508171145,6508171145,Praderio M.,Praderio,María José,M.J.,true,60026438
12,true,2,https://api.elsevier.com/content/author/author_id/7404467169,7404467169,Robinson M.,Robinson,Michael D.,M.D.,true,60026438
13,true,1,https://api.elsevier.com/content/author/author_id/56211926000,56211926000,Kellman M.,Kellman,Martin,M.,true,60033420
14,true,1,https://api.elsevier.com/content/author/author_id/6602696130,6602696130,ISichei A.O.,ISichei,AUgustine O.,A.O.,true,60011031
14,true,2,https://api.elsevier.com/content/author/author_id/56264693000,56264693000,MOrton A.J.,MOrton,ALan J.,A.J.,true,60015150
14,true,3,https://api.elsevier.com/content/author/author_id/6603479153,6603479153,EKeleme F.,EKeleme,FRiday,F.,true,60011031
15,true,1,https://api.elsevier.com/content/author/author_id/7005603741,7005603741,Yamakura T.,Yamakura,T.,T.,true,60270122
15,true,2,https://api.elsevier.com/content/author/author_id/6507514855,6507514855,Sahunalu P.,Sahunalu,P.,P.,true,60021944
