@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/57212815474,57212815474,Newbery D.,Newbery,D. M.,D.M.,1,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/57212815474,57212815474,Newbery D.,Newbery,D. M.,D.M.,2,NA,NA
true,2,https://api.elsevier.com/content/author/author_id/57189984154,57189984154,Koenen Newbery G.,Koenen Newbery,G. T.,G.T.,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7401645599,7401645599,Marshall A.,Marshall,Adrian G.,A.G.,4,true,60015875
true,1,https://api.elsevier.com/content/author/author_id/7004436948,7004436948,Farji Brener A.,Farji Brener,Alejandro G.,A.G.,5,true,60007418
true,2,https://api.elsevier.com/content/author/author_id/55447839300,55447839300,Silva J.,Silva,Juan F.,J.F.,5,true,60007418
true,1,https://api.elsevier.com/content/author/author_id/35585196800,35585196800,Vieira E.,Vieira,Emerson Monteiro,E.M.,6,true,60029570
true,1,https://api.elsevier.com/content/author/author_id/7401700056,7401700056,Lin G.,Lin,Guanghui,G.,7,true,60029251
true,2,https://api.elsevier.com/content/author/author_id/7005031926,7005031926,Sternberg L.,Sternberg,Leonel D.,L.D.,7,true,60029251
true,1,https://api.elsevier.com/content/author/author_id/56634089500,56634089500,Roux X.L.,Roux,X. Le,X.L.,8,true,60000179
true,2,https://api.elsevier.com/content/author/author_id/6602880116,6602880116,Mordelet P.,Mordelet,P.,P.,8,true,60000179
true,1,https://api.elsevier.com/content/author/author_id/6603558448,6603558448,Feer F.,Feer,François,F.,9,true,60008134
true,1,https://api.elsevier.com/content/author/author_id/7006566308,7006566308,Gentile R.,Gentile,Rosana,R.,10,true,60000036
true,2,https://api.elsevier.com/content/author/author_id/7004127265,7004127265,Cerqueira R.,Cerqueira,Rui,R.,10,true,60000036
true,1,https://api.elsevier.com/content/author/author_id/55670398600,55670398600,da Silva Júnior M.C.,da Silva Júnior,Manoel Cláudio,M.C.,11,true,60024989
true,2,https://api.elsevier.com/content/author/author_id/7005768098,7005768098,Scarano F.R.,Scarano,Fábio Rubio,F.R.,11,true,60024989
true,3,https://api.elsevier.com/content/author/author_id/6504628189,6504628189,de Souza Cardel F.,de Souza Cardel,Fabio,F.,11,true,60024989
true,1,https://api.elsevier.com/content/author/author_id/35212214400,35212214400,Zhang S.Y.,Zhang,Shu Yi,S.Y.,12,true,60029089
true,2,https://api.elsevier.com/content/author/author_id/57189670923,57189670923,Wang L.X.,Wang,Li Xin,L.X.,12,true,60009509
true,1,https://api.elsevier.com/content/author/author_id/7006176421,7006176421,Eggleton P.,Eggleton,Paul,P.,13,true,60025352
true,2,https://api.elsevier.com/content/author/author_id/7003822311,7003822311,Bignell D.E.,Bignell,D. E.,D.E.,13,true,60022109
true,3,https://api.elsevier.com/content/author/author_id/7004050404,7004050404,Sands W.A.,Sands,W. A.,W.A.,13,true,60025352
true,4,https://api.elsevier.com/content/author/author_id/7003523118,7003523118,Waite B.,Waite,B.,B.,13,true,60003661
true,5,https://api.elsevier.com/content/author/author_id/7402252759,7402252759,Wood T.G.,Wood,T. G.,T.G.,13,true,60003661
true,6,https://api.elsevier.com/content/author/author_id/7102180766,7102180766,Lawton J.H.,Lawton,J. H.,J.H.,13,true,60007317
true,1,https://api.elsevier.com/content/author/author_id/7402361326,7402361326,Walker L.,Walker,Lawrence R.,L.R.,14,true,60031892
true,1,https://api.elsevier.com/content/author/author_id/6604085227,6604085227,Juste J.,Juste,J. B.,J.B.,15,true,60006627
true,1,https://api.elsevier.com/content/author/author_id/35617759600,35617759600,Ciofolo I.,Ciofolo,I.,I.,16,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7004352357,7004352357,Kursar T.A.,Kursar,Thomas A.,T.A.,17,true,60025488
true,2,https://api.elsevier.com/content/author/author_id/7404005339,7404005339,Wright S.J.,Wright,S. Joseph,S.J.,17,true,60030522
true,3,https://api.elsevier.com/content/author/author_id/6603006005,6603006005,Radulovich R.,Radulovich,Ricardo,R.,17,true,60071928
true,1,https://api.elsevier.com/content/author/author_id/7003637127,7003637127,Voris H.K.,Voris,Harold K.,H.K.,18,true,60030002
true,2,https://api.elsevier.com/content/author/author_id/36928075200,36928075200,Jeffries W.B.,Jeffries,William B.,W.B.,18,true,60024664
true,1,https://api.elsevier.com/content/author/author_id/7006566308,7006566308,Gentile R.,Gentile,Rosana,R.,19,true,60000036
true,2,https://api.elsevier.com/content/author/author_id/7004127265,7004127265,Cerqueira R.,Cerqueira,Rui,R.,19,true,60000036
true,1,https://api.elsevier.com/content/author/author_id/7102791283,7102791283,Cummins C.P.,Cummins,Clive P.,C.P.,20,true,116741845
true,2,https://api.elsevier.com/content/author/author_id/7005906256,7005906256,Swan M.J.,Swan,Mary J.,M.J.,20,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/7005820534,7005820534,Dangerfield J.,Dangerfield,J. Mark,J.M.,21,true,60021221
true,2,https://api.elsevier.com/content/author/author_id/7102235740,7102235740,Telford S.,Telford,S. R.,S.R.,21,true,60021902
true,1,https://api.elsevier.com/content/author/author_id/19034302700,19034302700,Fischer E.,Fischer,Erich A.,E.A.,22,true,116745561
true,2,https://api.elsevier.com/content/author/author_id/7202091963,7202091963,Araujo A.,Araujo,Andrea C.,A.C.,22,true,116745561
true,1,https://api.elsevier.com/content/author/author_id/7006745049,7006745049,Nadkarni N.,Nadkarni,Nalini M.,N.M.,23,true,60004393
true,2,https://api.elsevier.com/content/author/author_id/6506996275,6506996275,Matelson T.,Matelson,Teri J.,T.J.,23,NA,NA
true,3,https://api.elsevier.com/content/author/author_id/6701557562,6701557562,Haber W.,Haber,William A.,W.A.,23,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/57205823357,57205823357,Itoh A.,Itoh,Akira,A.,24,true,60011001
true,1,https://api.elsevier.com/content/author/author_id/55612751800,55612751800,Williams R.J.,Williams,Richard J.,R.J.,25,true,60032673
true,2,https://api.elsevier.com/content/author/author_id/57189672166,57189672166,Douglasf M.,Douglasf,Michael,M.,25,true,60019578
true,1,https://api.elsevier.com/content/author/author_id/57189526543,57189526543,Russellagreenberg R.A.G.,Russellagreenberg,R. A.G.,R.A.G.,26,true,60022189
true,2,https://api.elsevier.com/content/author/author_id/7202971341,7202971341,Foster M.S.,Foster,Mercedes S.,M.S.,26,true,60007670
true,3,https://api.elsevier.com/content/author/author_id/32868081200,32868081200,Marquez-Valdelamar L.,Marquez-Valdelamar,Laura,L.,26,true,60032442
true,1,https://api.elsevier.com/content/author/author_id/7401438262,7401438262,Clarke C.,Clarke,C. M.,C.M.,27,true,60017837
true,2,https://api.elsevier.com/content/author/author_id/7102466376,7102466376,Kitching R.,Kitching,R. L.,R.L.,27,true,60017837
true,1,https://api.elsevier.com/content/author/author_id/57225368065,57225368065,Hammond D.S.,Hammond,D. S.,D.S.,28,true,60000112
true,1,https://api.elsevier.com/content/author/author_id/7103182254,7103182254,Ashton P.m.,Ashton,P. mark,P.m.,29,true,60005455
