entry_number,@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$
29,true,1,https://api.elsevier.com/content/author/author_id/6506713472,6506713472,Srikosamatara S.,Srikosamatara,Sompoad,S.,true,60012718
30,true,1,https://api.elsevier.com/content/author/author_id/56866706800,56866706800,Miranda A.,Miranda,Antonio Carlos,A.C.,true,60024989
30,true,2,https://api.elsevier.com/content/author/author_id/7005932858,7005932858,Miranda H.,Miranda,Heloisa Sinátora,H.S.,true,60024989
30,true,3,https://api.elsevier.com/content/author/author_id/6504430784,6504430784,De Fátima Oliveira Dias I.,De Fátima Oliveira Dias,Inês,I.,true,100418353
30,true,4,https://api.elsevier.com/content/author/author_id/55761722400,55761722400,De Souza Dias B.,De Souza Dias,Braulio Ferreira,B.F.,true,60006437
31,true,1,https://api.elsevier.com/content/author/author_id/6504048634,6504048634,Migenis L.,Migenis,Luis E.,L.E.,true,60071503
31,true,2,https://api.elsevier.com/content/author/author_id/7102318422,7102318422,Ackerman J.,Ackerman,James D.,J.D.,true,60071503
32,true,1,https://api.elsevier.com/content/author/author_id/7403548194,7403548194,Brown N.,Brown,Nick,N.,true,60026851
33,true,1,https://api.elsevier.com/content/author/author_id/6506038203,6506038203,Braker E.,Braker,Elizabeth,E.,true,60025038
34,true,1,https://api.elsevier.com/content/author/author_id/6603005931,6603005931,Herbohn J.,Herbohn,John L.,J.L.,true,60019870
34,true,2,https://api.elsevier.com/content/author/author_id/6602530473,6602530473,Congdon R.,Congdon,Robert A.,R.A.,true,60019870
35,true,1,https://api.elsevier.com/content/author/author_id/7404430632,7404430632,King D.A.,King,David A.,D.A.,true,60028333
36,true,1,https://api.elsevier.com/content/author/author_id/57205132099,57205132099,Oberbauer S.,Oberbauer,Steven F.,S.F.,true,60015206
36,true,2,https://api.elsevier.com/content/author/author_id/35551380400,35551380400,Clark D.,Clark,David B.,D.B.,true,60071925
36,true,3,https://api.elsevier.com/content/author/author_id/57200995038,57200995038,Clark D.,Clark,Deborah A.,D.A.,true,60071925
36,true,4,https://api.elsevier.com/content/author/author_id/7102577568,7102577568,Rich P.,Rich,Paul M.,P.M.,true,60015457
36,true,5,https://api.elsevier.com/content/author/author_id/7005595240,7005595240,Vega G.,Vega,Gerardo,G.,true,60071925
37,true,1,https://api.elsevier.com/content/author/author_id/7402063790,7402063790,Campbell E.,Campbell,E. J.F.,E.J.F.,true,60025200
37,true,2,https://api.elsevier.com/content/author/author_id/57212815474,57212815474,Newbery D.,Newbery,D. Mc C.,D.M.C.,true,60025200
38,true,1,https://api.elsevier.com/content/author/author_id/56582665400,56582665400,Gaston K.,Gaston,Kevin J.,K.J.,true,60025352
38,true,2,https://api.elsevier.com/content/author/author_id/12645650700,12645650700,Gauld I.,Gauld,Ian D.,I.D.,true,60025352
39,true,1,https://api.elsevier.com/content/author/author_id/6603701335,6603701335,Inger R.,Inger,Robert F.,R.F.,NA,NA
39,true,2,https://api.elsevier.com/content/author/author_id/7003637127,7003637127,Voris H.,Voris,Harold K.,H.K.,NA,NA
40,true,1,https://api.elsevier.com/content/author/author_id/7005620389,7005620389,Farnsworth E.,Farnsworth,Elizabeth J.,E.J.,true,60009500
40,true,2,https://api.elsevier.com/content/author/author_id/34975053400,34975053400,Ellison A.,Ellison,Aaron M.,A.M.,true,60019526
41,true,1,https://api.elsevier.com/content/author/author_id/6603374975,6603374975,Chandrashekara U.,Chandrashekara,U. M.,U.M.,true,60030622
41,true,2,https://api.elsevier.com/content/author/author_id/7102023406,7102023406,Ramakrishnan P.,Ramakrishnan,P. S.,P.S.,true,60030622
42,true,1,https://api.elsevier.com/content/author/author_id/6602899503,6602899503,De Rouw A.,De Rouw,Anneke,A.,true,60004156
43,true,1,https://api.elsevier.com/content/author/author_id/7005765422,7005765422,Corlett R.,Corlett,Richard T.,R.T.,true,60006541
44,true,1,https://api.elsevier.com/content/author/author_id/7005705952,7005705952,De Figueiredo R.,De Figueiredo,Rodolfo Antonio,R.A.,true,60029570
45,true,1,https://api.elsevier.com/content/author/author_id/6701362520,6701362520,Gompper M.,Gompper,Matthew E.,M.E.,true,60015574
