@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/6602934596,6602934596,Mylius S.,Mylius,S. D.,S.D.,86,true,60010023
true,2,https://api.elsevier.com/content/author/author_id/6507738114,6507738114,Klumpers K.,Klumpers,K.,K.,86,true,60010023
true,3,https://api.elsevier.com/content/author/author_id/35607677700,35607677700,De Roos A.,De Roos,A. M.,A.M.,86,true,60010023
true,4,https://api.elsevier.com/content/author/author_id/7202841053,7202841053,Persson L.,Persson,L.,L.,86,true,60010023
true,1,https://api.elsevier.com/content/author/author_id/7004209946,7004209946,Swaddle J.,Swaddle,J. P.,J.P.,87,true,60016114
true,2,https://api.elsevier.com/content/author/author_id/6603853046,6603853046,Pruett-Jones S.,Pruett-Jones,S.,S.,87,true,60016114
true,1,https://api.elsevier.com/content/author/author_id/7202771681,7202771681,Agrawal A.,Agrawal,A. F.,A.F.,88,true,60021121
true,2,https://api.elsevier.com/content/author/author_id/56744358800,56744358800,Brodie E.,Brodie,E. D.,E.D.,88,true,60021121
true,3,https://api.elsevier.com/content/author/author_id/7201453227,7201453227,Wade M.,Wade,M. J.,M.J.,88,true,60021121
true,1,https://api.elsevier.com/content/author/author_id/7007068615,7007068615,Etienne R.S.,Etienne,R. S.,R.S.,89,true,60004156
true,2,https://api.elsevier.com/content/author/author_id/6701820159,6701820159,Heesterbeek J.A.P.,Heesterbeek,J. A.P.,J.A.P.,89,true,60004156
true,1,https://api.elsevier.com/content/author/author_id/7005437840,7005437840,Slagsvold T.,Slagsvold,T.,T.,90,true,60010348
true,2,https://api.elsevier.com/content/author/author_id/7403018938,7403018938,Hansen B.,Hansen,B. T.,B.T.,90,true,60010348
true,1,https://api.elsevier.com/content/author/author_id/15834707200,15834707200,Fenton A.,Fenton,A.,A.,91,true,60025200
true,2,https://api.elsevier.com/content/author/author_id/7202170678,7202170678,Norman R.,Norman,R.,R.,91,true,60025200
true,3,https://api.elsevier.com/content/author/author_id/57212769912,57212769912,Fairbairn J.,Fairbairn,J. P.,J.P.,91,true,60025200
true,4,https://api.elsevier.com/content/author/author_id/7202250860,7202250860,Hudson P.,Hudson,P. J.,P.J.,91,true,60025200
true,1,https://api.elsevier.com/content/author/author_id/57204247155,57204247155,Stinchcombe J.,Stinchcombe,J. R.,J.R.,92,true,60008724
true,2,https://api.elsevier.com/content/author/author_id/7003801703,7003801703,Rausher M.,Rausher,M. D.,M.D.,92,true,60008724
true,1,https://api.elsevier.com/content/author/author_id/6701521234,6701521234,Tufto J.,Tufto,J.,J.,93,true,60013141
true,1,https://api.elsevier.com/content/author/author_id/8387187300,8387187300,Cantrell R.S.,Cantrell,R. S.,R.S.,94,true,60025928
true,2,https://api.elsevier.com/content/author/author_id/6701631395,6701631395,Cosner C.,Cosner,C.,C.,94,true,60025928
true,3,https://api.elsevier.com/content/author/author_id/7004381231,7004381231,Fagan W.F.,Fagan,W. F.,W.F.,94,true,60025928
true,1,https://api.elsevier.com/content/author/author_id/35494739100,35494739100,Hanski I.,Hanski,I.,I.,95,true,60002952
true,2,https://api.elsevier.com/content/author/author_id/7401655054,7401655054,Singer M.,Singer,M. C.,M.C.,95,true,60002952
true,1,https://api.elsevier.com/content/author/author_id/56211780300,56211780300,Weiner J.,Weiner,J.,J.,96,true,60007971
true,2,https://api.elsevier.com/content/author/author_id/57205957866,57205957866,Stoll P.,Stoll,P.,P.,96,true,60007971
true,3,https://api.elsevier.com/content/author/author_id/6602608270,6602608270,Muller-Landau H.,Muller-Landau,H.,H.,96,true,60007971
true,4,https://api.elsevier.com/content/author/author_id/7801321790,7801321790,Jasentuliyana A.,Jasentuliyana,A.,A.,96,true,60007971
true,1,https://api.elsevier.com/content/author/author_id/7005513913,7005513913,Meagher T.R.,Meagher,T. R.,T.R.,97,true,60022132
true,2,https://api.elsevier.com/content/author/author_id/6603828239,6603828239,Futuyma D.J.,Futuyma,D. J.,D.J.,97,true,60022132
true,1,https://api.elsevier.com/content/author/author_id/6603327244,6603327244,Kronfeld-Schor N.,Kronfeld-Schor,N.,N.,98,true,60005681
