@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7005028939,7005028939,Calow P.,Calow,P.,P.,true,60001490,1
true,2,https://api.elsevier.com/content/author/author_id/7102335988,7102335988,Riley H.,Riley,H.,H.,true,60001490,1
true,1,https://api.elsevier.com/content/author/author_id/7003949786,7003949786,Elmes G.,Elmes,G. W.,G.W.,true,60004708,2
true,2,https://api.elsevier.com/content/author/author_id/7102026427,7102026427,Wardlaw J.,Wardlaw,J. C.,J.C.,true,60004708,2
true,1,https://api.elsevier.com/content/author/author_id/6603541655,6603541655,Uchmanski J.,Uchmanski,J.,J.,true,60014383,3
true,2,https://api.elsevier.com/content/author/author_id/6603090887,6603090887,Petal J.,Petal,J.,J.,true,60014383,3
true,1,https://api.elsevier.com/content/author/author_id/7004747412,7004747412,Dugan P.,Dugan,P. J.,P.J.,true,60018601,4
true,1,https://api.elsevier.com/content/author/author_id/7402385785,7402385785,Ward S.,Ward,S. A.,S.A.,true,60000112,5
true,2,https://api.elsevier.com/content/author/author_id/24794454600,24794454600,Dixon A.,Dixon,A. F.G.,A.F.G.,true,60000112,5
true,1,https://api.elsevier.com/content/author/author_id/6602538643,6602538643,Village A.,Village,A.,A.,true,60027272,6
true,1,https://api.elsevier.com/content/author/author_id/6602356438,6602356438,Standen V.,Standen,V.,V.,true,60022175,7
true,1,https://api.elsevier.com/content/author/author_id/6602982654,6602982654,Draulans D.,Draulans,D.,D.,true,101484995,8
true,1,https://api.elsevier.com/content/author/author_id/56804497000,56804497000,Sutherland W.,Sutherland,W. J.,W.J.,true,60028355,9
true,1,https://api.elsevier.com/content/author/author_id/6602723662,6602723662,Tomback D.,Tomback,D. F.,D.F.,true,60010307,10
true,1,https://api.elsevier.com/content/author/author_id/7006968255,7006968255,Stamp N.,Stamp,N. E.,N.E.,true,60020304,11
true,1,https://api.elsevier.com/content/author/author_id/7402711010,7402711010,Hall S.J.,Hall,S. J.,S.J.,true,60022132,12
true,2,https://api.elsevier.com/content/author/author_id/7102091038,7102091038,Todd C.D.,Todd,C. D.,C.D.,true,60022132,12
true,3,https://api.elsevier.com/content/author/author_id/56246335700,56246335700,Gordon A.D.,Gordon,A. D.,A.D.,true,60022132,12
true,1,https://api.elsevier.com/content/author/author_id/7005972409,7005972409,Stoddart D.M.,Stoddart,D. M.,D.M.,true,60011520,13
true,1,https://api.elsevier.com/content/author/author_id/7101974595,7101974595,Randall M.,Randall,M. G.M.,M.G.M.,true,60022175,14
true,1,https://api.elsevier.com/content/author/author_id/7201490567,7201490567,Gee J.H.R.,Gee,J. H.R.,J.H.R.,true,60026851,15
true,1,https://api.elsevier.com/content/author/author_id/7006852414,7006852414,Buckland S.,Buckland,S. T.,S.T.,true,60011520,16
true,1,https://api.elsevier.com/content/author/author_id/7005841277,7005841277,Brakefield P.,Brakefield,P. M.,P.M.,true,60020661,17
true,1,https://api.elsevier.com/content/author/author_id/6701654279,6701654279,Formanowicz D.,Formanowicz,D. R.,D.R.,true,60011666,18
true,1,https://api.elsevier.com/content/author/author_id/7007177309,7007177309,Boomsma J.,Boomsma,J. J.,J.J.,true,60008734,19
true,2,https://api.elsevier.com/content/author/author_id/6602282436,6602282436,Van Der Lee G.,Van Der Lee,G. A.,G.A.,true,60008734,19
true,3,https://api.elsevier.com/content/author/author_id/6602955723,6602955723,Van Der Have T.,Van Der Have,T. M.,T.M.,true,60008734,19
true,1,https://api.elsevier.com/content/author/author_id/7102180766,7102180766,Lawton J.,Lawton,J. H.,J.H.,true,60016418,20
true,1,https://api.elsevier.com/content/author/author_id/35954985100,35954985100,Southwood T.,Southwood,T. R.E.,T.R.E.,true,60026851,21
true,2,https://api.elsevier.com/content/author/author_id/7004095997,7004095997,Moran V.,Moran,V. C.,V.C.,true,60026851,21
true,3,https://api.elsevier.com/content/author/author_id/7402165056,7402165056,Kennedy C.,Kennedy,C. E.J.,C.E.J.,true,60026851,21
true,1,https://api.elsevier.com/content/author/author_id/7401514148,7401514148,Carter M.,Carter,M. C.,M.C.,true,60000112,22
true,2,https://api.elsevier.com/content/author/author_id/24794454600,24794454600,Dixon A.,Dixon,A. F.G.,A.F.G.,true,60000112,22
true,1,https://api.elsevier.com/content/author/author_id/7004894156,7004894156,Van Straalen N.M.,Van Straalen,N. M.,N.M.,true,60008734,23
true,1,https://api.elsevier.com/content/author/author_id/7004393008,7004393008,Gilbert N.,Gilbert,N.,N.,true,60010365,24
true,1,https://api.elsevier.com/content/author/author_id/7003838664,7003838664,Kidd N.,Kidd,N. A.C.,N.A.C.,true,60023998,25
true,1,https://api.elsevier.com/content/author/author_id/56804497000,56804497000,Sutherland W.,Sutherland,W. J.,W.J.,true,60028355,26
true,1,https://api.elsevier.com/content/author/author_id/7201472917,7201472917,Gibbons J.,Gibbons,J. W.,J.W.,true,60009225,27
true,2,https://api.elsevier.com/content/author/author_id/7006223015,7006223015,Semlitsch R.,Semlitsch,R. D.,R.D.,true,60009225,27
true,1,https://api.elsevier.com/content/author/author_id/7003358811,7003358811,Bellows T.,Bellows,T. S.,T.S.,true,60015150,28
true,1,https://api.elsevier.com/content/author/author_id/7007177309,7007177309,Boomsma J.,Boomsma,J. J.,J.J.,true,60008734,29
true,2,https://api.elsevier.com/content/author/author_id/35895787800,35895787800,Van Loon A.,Van Loon,A. J.,A.J.,true,60008734,29
true,1,https://api.elsevier.com/content/author/author_id/7005841277,7005841277,Brakefield P.,Brakefield,P. M.,P.M.,NA,NA,30
true,1,https://api.elsevier.com/content/author/author_id/6603625744,6603625744,Hockin D.,Hockin,D. C.,D.C.,true,60015875,31
true,1,https://api.elsevier.com/content/author/author_id/7006670738,7006670738,Wanless S.,Wanless,S.,S.,true,60017383,32
true,2,https://api.elsevier.com/content/author/author_id/55435312300,55435312300,French D.D.,French,D. D.,D.D.,true,60017383,32
true,3,https://api.elsevier.com/content/author/author_id/7404204111,7404204111,Harris M.P.,Harris,M. P.,M.P.,true,60017383,32
true,4,https://api.elsevier.com/content/author/author_id/57217943878,57217943878,Langslow D.R.,Langslow,D. R.,D.R.,true,60017383,32
true,1,https://api.elsevier.com/content/author/author_id/7402701126,7402701126,Taylor L.,Taylor,L. R.,L.R.,true,60002793,33
true,2,https://api.elsevier.com/content/author/author_id/7003489101,7003489101,Woiwod I.,Woiwod,I. P.,I.P.,true,60002793,33
true,1,https://api.elsevier.com/content/author/author_id/7003604146,7003604146,Hildrew A.,Hildrew,A. G.,A.G.,true,60022109,34
true,2,https://api.elsevier.com/content/author/author_id/7202535733,7202535733,Townsend C.,Townsend,C. R.,C.R.,true,60022109,34
