@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7403868430,7403868430,Walker M.,Walker,M. D.,M.D.,true,60000221,85
true,2,https://api.elsevier.com/content/author/author_id/7006982233,7006982233,Webber P.,Webber,P. J.,P.J.,true,60000221,85
true,3,https://api.elsevier.com/content/author/author_id/7202887890,7202887890,Arnold E.,Arnold,E. H.,E.H.,true,60000221,85
true,4,https://api.elsevier.com/content/author/author_id/6603460952,6603460952,Ebert-May D.,Ebert-May,D.,D.,true,60000221,85
true,1,https://api.elsevier.com/content/author/author_id/7006821066,7006821066,Silvertown J.,Silvertown,J.,J.,true,60012113,86
true,2,https://api.elsevier.com/content/author/author_id/7406639791,7406639791,Wilson J.,Wilson,J. B.,J.B.,true,60012113,86
true,1,https://api.elsevier.com/content/author/author_id/7003753839,7003753839,Myster R.,Myster,R. W.,R.W.,true,60071503,87
true,2,https://api.elsevier.com/content/author/author_id/7004916681,7004916681,Pickett S.,Pickett,S. T.A.,S.T.A.,true,60071503,87
true,1,https://api.elsevier.com/content/author/author_id/55431195600,55431195600,Roy B.,Roy,B. A.,B.A.,true,60014439,88
true,1,https://api.elsevier.com/content/author/author_id/55407073400,55407073400,Armbruster W.,Armbruster,W. F.,W.F.,true,60011976,89
true,2,https://api.elsevier.com/content/author/author_id/7402846040,7402846040,Edwards M.,Edwards,M. E.,M.E.,true,60011976,89
true,3,https://api.elsevier.com/content/author/author_id/6506228282,6506228282,Debevec E.,Debevec,E. M.,E.M.,true,60011976,89
true,1,https://api.elsevier.com/content/author/author_id/7007135615,7007135615,Aizen M.,Aizen,M. A.,M.A.,true,60013959,90
true,2,https://api.elsevier.com/content/author/author_id/6701768003,6701768003,Feinsinger P.,Feinsinger,P.,P.,true,60013959,90
true,1,https://api.elsevier.com/content/author/author_id/7202242553,7202242553,Reeve J.,Reeve,J. D.,J.D.,true,60003342,91
true,2,https://api.elsevier.com/content/author/author_id/7103340764,7103340764,Cronin J.,Cronin,J. T.,J.T.,true,60003342,91
true,3,https://api.elsevier.com/content/author/author_id/7201547672,7201547672,Strong D.,Strong,D. R.,D.R.,true,60003342,91
