@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,2,https://api.elsevier.com/content/author/author_id/55463870500,55463870500,Green D.,Green,D. G.,D.G.,87,true,60030522
true,3,https://api.elsevier.com/content/author/author_id/7004630013,7004630013,Victor B.,Victor,B. C.,B.C.,87,true,60030522
true,1,https://api.elsevier.com/content/author/author_id/56309635200,56309635200,Jones W.T.,Jones,W. T.,W.T.,88,true,60028629
true,1,https://api.elsevier.com/content/author/author_id/7003892858,7003892858,Winn A.,Winn,A. A.,A.A.,89,true,60029278
true,1,https://api.elsevier.com/content/author/author_id/7003791593,7003791593,Searcy W.,Searcy,W. A.,W.A.,90,true,60015543
true,1,https://api.elsevier.com/content/author/author_id/7006923893,7006923893,Clay K.,Clay,K.,K.,91,true,60021121
true,1,https://api.elsevier.com/content/author/author_id/7102521104,7102521104,Dickman C.,Dickman,C. R.,C.R.,92,true,60031806
true,1,https://api.elsevier.com/content/author/author_id/7103142686,7103142686,Lawton R.O.,Lawton,R. O.,R.O.,93,true,60020583
true,2,https://api.elsevier.com/content/author/author_id/7003474461,7003474461,Putz F.E.,Putz,F. E.,F.E.,93,true,60020583
true,1,https://api.elsevier.com/content/author/author_id/6701383573,6701383573,Lorimer C.,Lorimer,C. G.,C.G.,94,true,60032179
true,2,https://api.elsevier.com/content/author/author_id/6701766257,6701766257,Frelich L.,Frelich,L. E.,L.E.,94,true,60032179
true,3,https://api.elsevier.com/content/author/author_id/7003582349,7003582349,Nordheim E.,Nordheim,E. V.,E.V.,94,true,60032179
true,1,https://api.elsevier.com/content/author/author_id/7004880124,7004880124,Buss L.,Buss,L. W.,L.W.,95,true,60005455
true,2,https://api.elsevier.com/content/author/author_id/6701600057,6701600057,Yund P.,Yund,P. O.,P.O.,95,true,60005455
true,1,https://api.elsevier.com/content/author/author_id/6601943937,6601943937,Rissing S.W.,Rissing,S. W.,S.W.,96,true,60025928
true,1,https://api.elsevier.com/content/author/author_id/7403445953,7403445953,Young C.,Young,C. M.,C.M.,97,true,60017450
true,2,https://api.elsevier.com/content/author/author_id/7004412346,7004412346,Gotelli N.,Gotelli,N. J.,N.J.,97,true,60017450
true,1,https://api.elsevier.com/content/author/author_id/7004412346,7004412346,Gotelli N.,Gotelli,N. J.,N.J.,98,true,60009226
true,1,https://api.elsevier.com/content/author/author_id/7004357945,7004357945,Canham C.,Canham,C. D.,C.D.,99,true,60007776
true,1,https://api.elsevier.com/content/author/author_id/6701356968,6701356968,Mittelbach G.,Mittelbach,G. G.,G.G.,100,true,60003500
true,1,https://api.elsevier.com/content/author/author_id/6506932846,6506932846,Bigwood D.W.,Bigwood,D. W.,D.W.,101,true,60020304
true,2,https://api.elsevier.com/content/author/author_id/57200865505,57200865505,Inouye D.W.,Inouye,D. W.,D.W.,101,true,60020304
true,1,https://api.elsevier.com/content/author/author_id/7006005944,7006005944,Uhl C.,Uhl,C.,C.,102,true,60001439
true,2,https://api.elsevier.com/content/author/author_id/7402415472,7402415472,Clark K.,Clark,K.,K.,102,true,60001439
true,3,https://api.elsevier.com/content/author/author_id/6602418904,6602418904,Dezzeo N.,Dezzeo,N.,N.,102,true,60001439
true,4,https://api.elsevier.com/content/author/author_id/6506519317,6506519317,Maquirino P.,Maquirino,P.,P.,102,true,60001439
true,1,https://api.elsevier.com/content/author/author_id/7007033191,7007033191,Chapin F.,Chapin,F. S.,F.S.,103,true,60011976
true,2,https://api.elsevier.com/content/author/author_id/6603763786,6603763786,Fetcher N.,Fetcher,N.,N.,103,true,60011976
true,3,https://api.elsevier.com/content/author/author_id/6603892842,6603892842,Kielland K.,Kielland,K.,K.,103,true,60011976
true,4,https://api.elsevier.com/content/author/author_id/35583034400,35583034400,Everett K.,Everett,K. R.,K.R.,103,true,60011976
true,5,https://api.elsevier.com/content/author/author_id/6701871588,6701871588,Linkins A.,Linkins,A. E.,A.E.,103,true,60011976
true,1,https://api.elsevier.com/content/author/author_id/6603045723,6603045723,Van Alstyne K.,Van Alstyne,K. L.,K.L.,104,true,60015481
true,1,https://api.elsevier.com/content/author/author_id/7006249721,7006249721,Ketcham R.B.,Ketcham,R. B.,R.B.,105,true,60023004
true,2,https://api.elsevier.com/content/author/author_id/7006369158,7006369158,Levitan D.R.,Levitan,D. R.,D.R.,105,true,60023004
true,3,https://api.elsevier.com/content/author/author_id/6602572568,6602572568,Shenk M.A.,Shenk,M. A.,M.A.,105,true,60023004
true,4,https://api.elsevier.com/content/author/author_id/7203006595,7203006595,Eisenberg R.M.,Eisenberg,R. M.,R.M.,105,true,60023004
true,1,https://api.elsevier.com/content/author/author_id/7201993258,7201993258,Payne R.B.,Payne,R. B.,R.B.,106,true,60025778
true,2,https://api.elsevier.com/content/author/author_id/35868806800,35868806800,Payne L.L.,Payne,L. L.,L.L.,106,true,60025778
true,3,https://api.elsevier.com/content/author/author_id/6504346834,6504346834,Doehlert S.M.,Doehlert,S. M.,S.M.,106,true,60025778
true,1,https://api.elsevier.com/content/author/author_id/6603574656,6603574656,Koptur S.,Koptur,S.,S.,107,true,60015206
true,2,https://api.elsevier.com/content/author/author_id/7102180766,7102180766,Lawton J.,Lawton,J. H.,J.H.,107,true,60015206
true,1,https://api.elsevier.com/content/author/author_id/7004637899,7004637899,Holbrook S.,Holbrook,S. J.,S.J.,108,true,60029241
true,2,https://api.elsevier.com/content/author/author_id/7201439382,7201439382,Schmitt R.,Schmitt,R. J.,R.J.,108,true,60029241
true,1,https://api.elsevier.com/content/author/author_id/7102293320,7102293320,Eriksson O.,Eriksson,O.,O.,109,true,60028378
true,1,https://api.elsevier.com/content/author/author_id/7202045616,7202045616,Lewis W.,Lewis,W. M.,W.M.,110,true,60000221
true,1,https://api.elsevier.com/content/author/author_id/7004527057,7004527057,Holben W.,Holben,W. E.,W.E.,111,true,60031707
true,2,https://api.elsevier.com/content/author/author_id/7102334551,7102334551,Tiedje J.,Tiedje,J. M.,J.M.,111,true,60031707
true,1,https://api.elsevier.com/content/author/author_id/6603424094,6603424094,Brittingham M.,Brittingham,M. C.,M.C.,112,true,60032179
true,2,https://api.elsevier.com/content/author/author_id/7004577094,7004577094,Temple S.,Temple,S. A.,S.A.,112,true,60032179
true,1,https://api.elsevier.com/content/author/author_id/6603022715,6603022715,Gerrish G.,Gerrish,G.,G.,113,true,60013791
true,2,https://api.elsevier.com/content/author/author_id/7003674132,7003674132,Mueller-Dombois D.,Mueller-Dombois,D.,D.,113,true,60013791
true,3,https://api.elsevier.com/content/author/author_id/57220345666,57220345666,Bridges K.W.,Bridges,K. W.,K.W.,113,true,60013791
true,1,https://api.elsevier.com/content/author/author_id/7004616118,7004616118,Fahrig L.,Fahrig,L.,L.,114,true,60021918
true,2,https://api.elsevier.com/content/author/author_id/7006538069,7006538069,Paloheimo J.,Paloheimo,J.,J.,114,true,60021918
true,1,https://api.elsevier.com/content/author/author_id/7402533122,7402533122,James S.,James,S. W.,S.W.,115,true,60000689
true,1,https://api.elsevier.com/content/author/author_id/7401491351,7401491351,Warren S.D.,Warren,S. D.,S.D.,116,true,60028809
true,2,https://api.elsevier.com/content/author/author_id/7202864000,7202864000,Black H.L.,Black,H. L.,H.L.,116,true,60028809
true,3,https://api.elsevier.com/content/author/author_id/7005265015,7005265015,Eastmond D.A.,Eastmond,D. A.,D.A.,116,true,60028809
true,4,https://api.elsevier.com/content/author/author_id/7004503826,7004503826,Whaley W.H.,Whaley,W. H.,W.H.,116,true,60028809
true,1,https://api.elsevier.com/content/author/author_id/6507341496,6507341496,Bleiler J.,Bleiler,J. A.,J.A.,117,true,100398370
true,2,https://api.elsevier.com/content/author/author_id/24489369500,24489369500,Rosenthal G.,Rosenthal,G. A.,G.A.,117,true,100398370
true,3,https://api.elsevier.com/content/author/author_id/7006857631,7006857631,Janzen D.,Janzen,D. H.,D.H.,117,true,100398370
true,1,https://api.elsevier.com/content/author/author_id/7004348379,7004348379,Guyer C.,Guyer,C.,C.,118,true,60011754
true,1,https://api.elsevier.com/content/author/author_id/7202018933,7202018933,Mizutani H.,Mizutani,H.,H.,119,true,60002443
true,2,https://api.elsevier.com/content/author/author_id/57214923998,57214923998,Wada E.,Wada,E.,E.,119,true,60002443
true,1,https://api.elsevier.com/content/author/author_id/7004755740,7004755740,Doust J.,Doust,J. L.,J.L.,120,true,60019526
true,2,https://api.elsevier.com/content/author/author_id/6603175665,6603175665,Doust L.,Doust,L. L.,L.L.,120,true,60019526
true,1,https://api.elsevier.com/content/author/author_id/6602407692,6602407692,Frost I.,Frost,I.,I.,121,true,100718869
true,1,https://api.elsevier.com/content/author/author_id/7103010050,7103010050,Lau R.,Lau,R. R.,R.R.,122,true,60002476
true,2,https://api.elsevier.com/content/author/author_id/56686577800,56686577800,Young D.,Young,D. R.,D.R.,122,true,60002476
true,1,https://api.elsevier.com/content/author/author_id/7102154244,7102154244,Abrams P.,Abrams,P. A.,P.A.,123,true,60029445
true,1,https://api.elsevier.com/content/author/author_id/7103093897,7103093897,Fowler N.,Fowler,N. L.,N.L.,124,true,60013372
true,1,https://api.elsevier.com/content/author/author_id/7005208110,7005208110,Kats L.,Kats,L. B.,L.B.,125,true,60015941
true,2,https://api.elsevier.com/content/author/author_id/7003459532,7003459532,Petranka J.,Petranka,J. W.,J.W.,125,true,60015941
true,3,https://api.elsevier.com/content/author/author_id/7006332218,7006332218,Sih A.,Sih,A.,A.,125,true,60015941
true,1,https://api.elsevier.com/content/author/author_id/6603150480,6603150480,Crome F.,Crome,F. H.J.,F.H.J.,126,true,60032673
true,2,https://api.elsevier.com/content/author/author_id/57205943515,57205943515,Richards G.,Richards,G. C.,G.C.,126,true,60032673
