@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/7003285804,7003285804,Cwynar L.C.,Cwynar,L. C.,L.C.,true,60000500,1
true,2,https://api.elsevier.com/content/author/author_id/55609112700,55609112700,Macdonald G.M.,Macdonald,G. M.,G.M.,true,60000500,1
true,1,https://api.elsevier.com/content/author/author_id/56042267000,56042267000,Patton J.,Patton,J. L.,J.L.,true,60025038,2
true,2,https://api.elsevier.com/content/author/author_id/6505890268,6505890268,Brylski P.,Brylski,P. V.,P.V.,true,60025038,2
true,1,https://api.elsevier.com/content/author/author_id/7006373946,7006373946,Ims R.,Ims,R. A.,R.A.,true,60010348,3
true,1,https://api.elsevier.com/content/author/author_id/7005492658,7005492658,Hubbell S.,Hubbell,S. P.,S.P.,true,60024324,4
true,2,https://api.elsevier.com/content/author/author_id/7404798303,7404798303,Johnson L.,Johnson,L. K.,L.K.,true,60024324,4
true,1,https://api.elsevier.com/content/author/author_id/57204337226,57204337226,Wartenberg D.,Wartenberg,D.,D.,true,60028970,5
true,2,https://api.elsevier.com/content/author/author_id/57207542428,57207542428,Ferson S.,Ferson,S.,S.,true,60028970,5
true,3,https://api.elsevier.com/content/author/author_id/7003281107,7003281107,Rohlf F.J.,Rohlf,F. J.,F.J.,true,60028970,5
true,1,https://api.elsevier.com/content/author/author_id/7006706627,7006706627,Ives A.,Ives,A. R.,A.R.,true,60027165,6
true,2,https://api.elsevier.com/content/author/author_id/37080570100,37080570100,Dobson A.,Dobson,A. P.,A.P.,true,60027165,6
true,1,https://api.elsevier.com/content/author/author_id/7005418113,7005418113,Stamps J.,Stamps,J. A.,J.A.,true,60014439,7
true,1,https://api.elsevier.com/content/author/author_id/24794454600,24794454600,Dixon A.,Dixon,A. F.G.,A.F.G.,true,60000112,8
true,2,https://api.elsevier.com/content/author/author_id/57207604280,57207604280,Kindlmann P.,Kindlmann,P.,P.,true,60000112,8
true,3,https://api.elsevier.com/content/author/author_id/7003854080,7003854080,Leps J.,Leps,J.,J.,true,60000112,8
true,4,https://api.elsevier.com/content/author/author_id/57197260775,57197260775,Holman J.,Holman,J.,J.,true,60000112,8
true,1,https://api.elsevier.com/content/author/author_id/7103360968,7103360968,Arnold T.,Arnold,T. W.,T.W.,true,60010884,9
true,2,https://api.elsevier.com/content/author/author_id/7003939294,7003939294,Rohwer F.,Rohwer,F. C.,F.C.,true,60010884,9
true,3,https://api.elsevier.com/content/author/author_id/7202834310,7202834310,Armstrong T.,Armstrong,T.,T.,true,60010884,9
true,1,https://api.elsevier.com/content/author/author_id/7006358621,7006358621,McGinley M.,McGinley,M. A.,M.A.,true,60025488,10
