@_fa,@seq,author-url,authid,authname,surname,given-name,initials,afid.@_fa,afid.$,entry_number
true,1,https://api.elsevier.com/content/author/author_id/55841374200,55841374200,Henderson P.,Henderson,P. A.,P.A.,true,100367529,26
true,2,https://api.elsevier.com/content/author/author_id/7201911033,7201911033,Walker I.,Walker,I.,I.,true,116410426,26
true,1,https://api.elsevier.com/content/author/author_id/7004277369,7004277369,Roubik D.,Roubik,David W.,D.W.,true,60030522,27
true,2,https://api.elsevier.com/content/author/author_id/55420485100,55420485100,Moreno J.,Moreno,J. Enrique,J.E.,true,60030522,27
true,3,https://api.elsevier.com/content/author/author_id/7004956906,7004956906,Vergara C.,Vergara,Carlos,C.,true,60030522,27
true,4,https://api.elsevier.com/content/author/author_id/7006420659,7006420659,Wittmann D.,Wittmann,Dieter,D.,true,60030522,27
true,1,https://api.elsevier.com/content/author/author_id/57190540060,57190540060,Goosem S.,Goosem,S.,S.,true,60031004,28
true,2,https://api.elsevier.com/content/author/author_id/56017151900,56017151900,Lamb D.,Lamb,D.,D.,true,60031004,28
true,1,https://api.elsevier.com/content/author/author_id/7007037079,7007037079,Mares M.A.,Mares,Michael A.,M.A.,true,60030931,29
true,2,https://api.elsevier.com/content/author/author_id/57204408035,57204408035,Gettinger D.D.,Gettinger,Donald D.,D.D.,true,60030931,29
true,3,https://api.elsevier.com/content/author/author_id/6701631460,6701631460,Ernest K.A.,Ernest,Kristina A.,K.A.,true,60010065,29
true,1,https://api.elsevier.com/content/author/author_id/6603701335,6603701335,Inger R.F.,Inger,Robert F.,R.F.,true,60030002,30
true,2,https://api.elsevier.com/content/author/author_id/7003637127,7003637127,Voris H.K.,Voris,Harold K.,H.K.,true,60030002,30
true,3,https://api.elsevier.com/content/author/author_id/6505885226,6505885226,Frogner K.J.,Frogner,Karl J.,K.J.,true,60021013,30
true,1,https://api.elsevier.com/content/author/author_id/7004635169,7004635169,Lorence D.H.,Lorence,David H.,D.H.,true,60010261,31
true,2,https://api.elsevier.com/content/author/author_id/7006175365,7006175365,Sussman R.W.,Sussman,Robert W.,R.W.,true,60010261,31
true,1,https://api.elsevier.com/content/author/author_id/7201460761,7201460761,Fleming T.,Fleming,Theodore H.,T.H.,true,60029251,32
