@_fa,@seq,author-url,authid,authname,surname,given-name,initials,entry_number,afid.@_fa,afid.$
true,1,https://api.elsevier.com/content/author/author_id/34770166000,34770166000,Dye C.,Dye,C.,C.,28,NA,NA
true,1,https://api.elsevier.com/content/author/author_id/6701664965,6701664965,Nur N.,Nur,N.,N.,29,true,60008724
true,1,https://api.elsevier.com/content/author/author_id/6602126625,6602126625,Livdahl T.,Livdahl,T. P.,T.P.,30,true,60026910
true,2,https://api.elsevier.com/content/author/author_id/7005912170,7005912170,Sugihara G.,Sugihara,G.,G.,30,true,60026910
true,1,https://api.elsevier.com/content/author/author_id/57224654613,57224654613,Baars M.A.,Baars,M. A.,M.A.,31,true,107914005
true,2,https://api.elsevier.com/content/author/author_id/7007176499,7007176499,Van Dijk T.S.,Van Dijk,T. S.,T.S.,31,true,107914005
true,1,https://api.elsevier.com/content/author/author_id/6701664965,6701664965,Nur N.,Nur,N.,N.,32,true,60008724
true,1,https://api.elsevier.com/content/author/author_id/7004463052,7004463052,Cockrell B.,Cockrell,B. J.,B.J.,33,true,60013959
true,1,https://api.elsevier.com/content/author/author_id/7004558366,7004558366,Hassell M.,Hassell,M. P.,M.P.,34,true,60015150
true,2,https://api.elsevier.com/content/author/author_id/7408244444,7408244444,Anderson R.,Anderson,R. M.,R.M.,34,true,60015150
true,1,https://api.elsevier.com/content/author/author_id/57193304990,57193304990,Watson A.,Watson,A.,A.,35,true,60004708
true,2,https://api.elsevier.com/content/author/author_id/8085775500,8085775500,Moss R.,Moss,R.,R.,35,true,60004708
true,3,https://api.elsevier.com/content/author/author_id/7006656426,7006656426,Parr R.,Parr,R.,R.,35,true,60004708
true,1,https://api.elsevier.com/content/author/author_id/6701505481,6701505481,Toft C.,Toft,C. A.,C.A.,36,true,60014439
true,2,https://api.elsevier.com/content/author/author_id/57205397458,57205397458,Trauger D.,Trauger,D. L.,D.L.,36,true,60014439
true,3,https://api.elsevier.com/content/author/author_id/6507662463,6507662463,Murdy H.,Murdy,H. W.,H.W.,36,true,60014439
true,1,https://api.elsevier.com/content/author/author_id/35404557300,35404557300,Elliott J.,Elliott,J. M.,J.M.,37,true,60011185
true,1,https://api.elsevier.com/content/author/author_id/7402401632,7402401632,Sutton R.,Sutton,R. D.,R.D.,38,true,60028355
