"","ISO","NAME","X","Y","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"1","AFG","Kabul","69.17246","34.528887","3289005","4674294.96184836","6214979.16653994","7916471.73072485","9668317.91716575","11498880.2019631","13285114.2664375","15227530.4808176","17145445.2605044","18854748.2743031"
"2","AFG","Kandahar","65.7148476505095","31.5024485400417","570438.447732055","810700.367521042","1077913.55393139","1373017.02052426","1676853.71863164","1994342.77937087","2304143.64225339","2641032.42478202","2973671.72749116","3270129.82284069"
"3","AFG","Hirat","62.1547911798729","34.4838969446008","458973.248785204","652287.346604779","867286.361437334","1104725.82108176","1349192.01543621","1604642.8642361","1853907.80961096","2124967.62265688","2392608.31560992","2631137.70592752"
"4","AFG","Kandahar","65.71013","31.61332","383498","545022.816711717","724666.602942147","923060.644720674","1127325.91911451","1340769.49098358","1549044.39213387","1775530.13277043","1999159.0059951","2198463.74623897"
"5","AFG","Herat","62.19967","34.34817","358691","509767.402044189","677790.727659392","863351.42742727","1054403.57251695","1254040.30657367","1448842.71119768","1660677.96664796","1869841.15437209","2056253.64304951"
"6","AFG","Kunduz","68.8570485325429","36.795835044149","335909.064210956","477389.984655076","634741.460083831","808516.439142012","987434.079318568","1174391.06602614","1356820.7713806","1555201.50138272","1751079.87763357","1925652.54499592"
"7","AFG","Mazar-e Sharif","67.11087","36.70904","283532","402952.321180049","535768.560110855","682447.44618992","833467.117164564","991272.588951064","1145256.70170509","1312704.65453448","1478040.43642419","1625392.63020571"
"8","AFG","Injil","62.3107597773745","34.3092185993613","253612.061835046","360430.459333302","479231.159784813","610431.640598899","745514.841555157","886667.766334816","1024402.58401109","1174180.45940829","1322069.0523719","1453871.78956152"
"9","AFG","Imam Sahib","68.8523723684589","37.1062039519107","250183.635100011","355558.019852475","472752.726114981","602179.587674455","735436.68125135","874681.445758421","1010554.31046665","1158307.43014595","1304196.80744823","1434217.78384673"
"10","AFG","Taluqan","69.603772601251","36.7397304260251","235143.430100509","334183.058593875","444332.410325737","565978.561010504","691224.682949572","822098.517030052","949803.158671793","1088673.85401345","1225792.84894839","1347997.3982713"
"11","AFG","Puli Khumri","68.6625069178762","36.0082903272061","221247.67409436","314434.574693542","418074.671562331","532532.166249861","650376.89257929","773516.762478018","893674.722758737","1024338.88093264","1153354.85510018","1268337.74996518"
"12","AFG","Jalalabad","70.447997007652","34.433997958519","219512.795697728","311968.986058439","414796.405615169","528356.400088611","645277.065766542","767451.353988872","886667.11476251","1016306.69075196","1144311.0067074","1258392.2815165"
"13","AFG","Pashtun Kot","64.765051010852","35.8213688173074","197299.857497402","280400.221305077","372822.328913351","474890.960747773","579980.19075568","689791.418750356","796943.498597549","913464.586980765","1028515.8905587","1131053.05333054"
"14","AFG","Jaghuri","67.4698925632071","33.1434577025321","196054.051456486","278629.696510954","370468.225289353","471892.367463517","576318.034916236","685435.884350323","791911.376236106","907696.718138593","1022021.55586486","1123911.2705421"
"15","AFG","Charikar","69.17139","35.01361","187014.577292299","265782.902862596","353387.027903853","450134.80197444","549745.709844257","653832.457021169","755398.677964218","865845.49919374","974899.155787687","1072091.03618617"
"16","AFG","Shindand","62.3596470061593","33.2441880346682","185302.332022792","263349.480159772","350151.530032007","446013.512626411","544712.415088624","647846.177514013","748482.490832377","857918.096519666","965973.292938321","1062275.31576604"
"17","AFG","Baghlani Jadid","68.6233997596675","36.3248820739142","181806.005906381","258380.542882108","343544.792136222","437598.029262303","534434.658613473","635622.469991644","734359.954694774","841730.70473749","947747.091384415","1042232.06596563"
"18","AFG","Ghazni","68.42096","33.55391","179793.625690208","255520.571946893","339742.152396036","432754.329999821","528519.090926536","628586.871375476","726231.447404767","832413.728606179","937256.637633293","1030695.77386266"
"19","AFG","Shibirghan","65.7488488215577","36.5662383078126","177501.775556484","252263.421673975","335411.419899756","427237.960521913","521781.99696914","620574.201851243","716974.091180597","821802.854567145","925309.318911354","1017557.37566813"
"20","AFG","Khanabad","69.111852342493","36.6063145615663","173143.422511287","246069.381932131","327175.776178835","416747.621141211","508970.23692736","605336.712232168","699369.612555929","801624.425576642","902589.407095353","992572.418345858"
"21","AFG","Rustaq","69.8113981085787","37.1085615180875","171570.912200556","243834.548898158","324204.324685037","412962.666900895","504347.705306957","599838.968179045","693017.84989117","794343.971856429","894391.976731396","983557.750971509"
"22","AFG","Sari Pul","66.0668793500395","36.2864737458064","164093.12380804","233207.204577031","310074.124496444","394964.001524072","482366.092175891","573695.440607279","662813.191261943","759723.090867757","855410.579149596","940690.130584978"
"23","AFG","Qarabagh","67.9965006807772","33.2206314259283","158655.269003849","225478.989717372","299798.629531032","381875.355008434","466381.042279553","554683.842586279","640848.334888063","734546.753409749","827063.269893507","909516.756423118"
"24","AFG","Guzara","62.0442724144118","34.038332125159","152124.135754588","216197.020476772","287457.250579631","366155.24155851","447182.204754763","531849.970696055","614467.453282302","704308.723784559","793016.745910035","872075.988360819"
"25","AFG","Qaysar","64.2790809982387","35.6413656710883","148876.774036559","211581.908454175","281320.961512339","358339.003139834","437636.300907873","520496.681975588","601350.54665295","689273.994575108","776088.385333652","853459.966874367"
"26","AFG","Mihtarlam","70.0950834029032","34.6517978224354","142918.357308478","203113.877152106","270061.800814624","343997.389920113","420121.013697898","499665.117368792","577283.010398183","661687.544465039","745027.408579105","819302.388056042"
"27","AFG","Chaghcharan","65.3474263740816","34.7282103822212","141692.232247671","201371.322733877","267744.886821337","341046.167777788","416516.711821163","495378.390779185","572330.384440555","656010.795193834","738635.670009962","812273.429640249"
"28","AFG","Khost(Matun)","70.0112550304503","33.3346240110909","140524.166078186","199711.280924536","265537.682238647","338234.690504162","413083.079134418","491294.647230338","567612.272874179","650602.84865698","732546.590008699","805577.303123758"
"29","AFG","Andar","68.4469633834898","33.305842893623","138445.854578647","196757.609230074","261610.45723558","333232.297916209","406973.700672408","484028.542449239","559217.452631393","640980.621962931","721712.439239814","793663.049372428"
"30","AFG","Khogayani","70.1202741461253","34.2172727366215","136592.890301359","194124.198339604","258109.053504152","328772.304903371","401526.75008341","477550.287097531","551732.866212281","632401.714356447","712053.014098805","783040.634687886"
"31","AFG","Koshk","62.2362313741475","35.0056910975527","128812.01481516","183066.110229701","243406.133002612","310044.123940804","378654.185926635","450347.119245187","520303.962964314","596377.591974893","671491.636196543","738435.518962618"
"32","AFG","Balkh","66.8894269290843","36.8126108171503","127444.186697566","181122.169105031","240821.453668206","306751.829576574","374633.335518399","445564.976420506","514778.962899223","590044.78179273","664361.205529521","730594.22506378"
"33","AFG","Paghman","68.9363740722883","34.5480725932807","127061.391634441","180578.145293883","240098.11535088","305830.460866009","373508.075943721","444226.6645077","513232.757845036","588272.506137435","662365.710904002","728399.791015832"
"34","AFG","Surkh Rod","70.2744391700757","34.393848584036","126187.556117589","179336.260604166","238446.895747318","303727.182164257","370939.359999467","441171.597724738","509703.117515683","584226.797186528","657810.442967084","723390.388870386"
"35","AFG","Nad Ali","63.8614450221094","31.6259413558506","124850.233519164","177435.673562132","235919.860340514","300508.31307002","367008.183233429","436496.107006218","504301.336876504","578035.222339363","650839.036293355","715723.972749147"
