"","ISO","NAME","X","Y","2010","2020","2030","2040","2050","2060","2070","2080","2090","2100"
"1","AFG","Kabul","69.17246","34.528887","3289005","4253580.0845811","5465005.81203588","6524322.82673273","7556532.35230366","8542959.59634839","9615613.52982419","10490162.2658782","11291825.956331","11850812.7785733"
"2","AFG","Kandahar","65.7148476505095","31.5024485400417","570438.447732055","737732.420824058","947839.67560536","1131565.49953078","1310589.85476919","1481673.82268456","1667712.77512325","1819392.75841932","1958431.7052087","2055381.26143698"
"3","AFG","Hirat","62.1547911798729","34.4838969446008","458973.248785204","593577.531924772","762629.266960717","910454.573315939","1054497.0905448","1192150.79337878","1341837.23674679","1463878.5454732","1575748.91004857","1653754.26359248"
"4","AFG","Kandahar","65.71013","31.61332","383498","495967.459847791","637219.705930558","760736.075319542","881091.711336331","996109.133090529","1121180.58727807","1223152.97442228","1316626.96487266","1381804.83123537"
"5","AFG","Herat","62.19967","34.34817","358691","463885.246181894","596000.431657891","711527.005597009","824097.301761521","931674.692064561","1048655.75839081","1144031.94683806","1231459.46695195","1292421.22963"
"6","AFG","Kunduz","68.8570485325429","36.795835044149","335909.064210956","434421.992595936","558146.001063668","666335.008714785","771755.503911407","872500.213165196","982051.33242955","1071369.7881737","1153244.42809425","1210334.25932456"
"7","AFG","Mazar-e Sharif","67.11087","36.70904","283532","366684.169997142","471116.349138465","562435.842970498","651418.508306725","736454.465794929","828923.682189024","904315.039827844","973423.268450618","1021611.29239221"
"8","AFG","Injil","62.3107597773745","34.3092185993613","253612.061835046","327989.53343978","421401.424421954","503084.356565327","582677.055884974","658739.526818416","741450.856142716","808886.481240851","870702.009473254","913804.954141168"
"9","AFG","Imam Sahib","68.8523723684589","37.1062039519107","250183.635100011","323555.643043873","415704.755662526","496283.466081072","574800.200258184","649834.429052849","731427.634378259","797951.638403218","858931.520223149","901451.782479238"
"10","AFG","Taluqan","69.603772601251","36.7397304260251","235143.430100509","304104.557851269","390713.973423978","466448.560753474","540245.130970049","610768.552402753","687456.646591817","749981.449559828","807295.424442837","847259.510469779"
"11","AFG","Puli Khumri","68.6625069178762","36.0082903272061","221247.67409436","286133.557196678","367624.805929178","438883.872312555","508319.448333452","574675.30167153","646831.527609066","705661.439310055","759588.455814613","797190.871825081"
"12","AFG","Jalalabad","70.447997007652","34.433997958519","219512.795697728","283889.886482561","364742.134567849","435442.434332147","504333.542343202","570169.076826325","641759.501211036","700128.107529704","753632.263923702","790939.826578243"
"13","AFG","Pashtun Kot","64.765051010852","35.8213688173074","197299.857497402","255162.501893928","327833.149520039","391379.144750895","453299.023955276","512472.529219506","576818.575582708","629280.746056146","677370.710007909","710903.045888011"
"14","AFG","Jaghuri","67.4698925632071","33.1434577025321","196054.051456486","253551.335062351","325763.12005694","388907.868243126","450436.768150593","509236.635484946","573176.383058655","625307.292832138","673093.603408991","706414.206816828"
"15","AFG","Charikar","69.17139","35.01361","187014.577292299","241860.830706209","310743.143241754","370976.47329813","429668.457074905","485757.235922804","546748.910289337","596476.217543249","642059.242257594","673843.530902219"
"16","AFG","Shindand","62.3596470061593","33.2441880346682","185302.332022792","239646.43079551","307898.079050765","367579.932126315","425734.550992639","481309.799036441","541743.053265756","591015.073301722","636180.754515005","667674.036444194"
"17","AFG","Baghlani Jadid","68.6233997596675","36.3248820739142","181806.005906381","235124.727989351","302088.588780315","360644.351216282","417701.695641897","472228.337394345","531521.323377949","579863.667847615","624177.152819935","655076.212415823"
"18","AFG","Ghazni","68.42096","33.55391","179793.625690208","232522.171772466","298744.820808722","356652.439321821","413078.225562452","467001.321053764","525638.00291058","573445.254069498","617268.240501776","647825.283584409"
"19","AFG","Shibirghan","65.7488488215577","36.5662383078126","177501.775556484","229558.184765558","294936.68603814","352106.149442995","407812.669662683","461048.401221386","518937.634515224","566135.481116328","609399.850873907","639567.379795477"
"20","AFG","Khanabad","69.111852342493","36.6063145615663","173143.422511287","223921.646142289","287694.85310602","343460.585736117","397799.296077421","449727.885146845","506195.714539684","552234.672009591","594436.734660155","623863.534419274"
"21","AFG","Rustaq","69.8113981085787","37.1085615180875","171570.912200556","221887.961626601","285081.972314526","340341.233556484","394186.432905317","445643.400006381","501598.381480096","547219.20735559","589037.98557242","618197.527440007"
